Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
1,INDY,2,2,1,3,3,2,2,2,2,2,2,3,2,1,1,1,2,2,2,2,2,3,2,3,3,2,2,2,2,1,2,2,2,1,2,4,-31,-21,-52
2,Blutes87,3,2,2,3,3,2,3,2,2,3,2,3,2,2,1,1,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,4,-26,-20,-46
2,Brad,2,1,1,3,3,1,2,4,2,2,2,2,2,2,2,1,2,6,3,2,1,4,2,3,2,2,2,2,2,1,2,3,2,2,2,3,-26,-20,-46
2,Burn1,2,2,2,3,3,4,2,3,2,2,2,2,1,3,1,2,2,2,2,2,2,3,2,2,3,2,1,2,2,2,2,2,2,3,3,3,-26,-20,-46
2,Rolyt,2,2,2,3,3,2,2,2,2,3,2,4,2,2,1,1,2,2,3,2,1,2,2,3,3,1,3,2,2,2,2,4,2,2,2,3,-27,-19,-46
2,his.Dudeness,2,2,1,4,3,2,2,2,3,2,3,3,1,2,2,1,2,2,3,2,2,2,2,3,2,2,2,2,2,2,4,3,2,1,2,3,-27,-19,-46
2,ichibuho,2,2,1,3,3,2,2,2,2,2,3,3,2,2,1,1,2,2,4,2,3,4,2,2,2,2,2,2,2,2,2,3,3,1,2,3,-29,-17,-46
8,AndyP1970,2,2,3,3,3,1,2,2,5,2,2,3,1,2,2,1,2,2,2,2,2,3,2,3,3,1,3,2,2,2,2,3,2,1,3,3,-26,-19,-45
8,ElJorge,3,2,3,3,3,1,2,3,3,2,3,3,2,2,2,2,2,1,2,2,1,3,3,2,2,2,3,2,2,2,2,3,2,1,2,3,-24,-21,-45
8,Yoda,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,3,2,3,1,3,2,2,2,4,4,2,1,3,3,-28,-17,-45
11,GreatGoose,2,2,3,4,3,2,2,2,2,3,3,3,2,2,1,2,2,2,2,2,1,4,2,2,2,2,2,2,2,2,2,3,2,2,2,4,-24,-20,-44
11,Jed,2,2,2,3,3,2,3,2,2,2,3,3,2,2,2,1,2,2,2,2,3,3,2,2,3,2,2,2,2,2,2,3,3,3,2,2,-26,-18,-44
11,Lake180,2,2,1,3,3,2,2,2,2,2,2,2,1,2,1,3,2,4,3,2,3,6,2,3,2,2,2,2,2,2,2,3,2,1,1,4,-28,-16,-44
11,Old-T,2,2,2,3,3,1,2,2,2,2,2,3,2,2,2,1,2,2,3,2,2,4,3,3,2,2,2,2,2,3,2,4,2,1,3,3,-29,-15,-44
11,RyRy2K22,2,2,2,3,3,2,2,2,2,3,2,3,2,2,2,1,1,2,2,3,2,4,2,2,2,1,3,2,2,2,3,2,2,2,3,5,-28,-16,-44
11,Zanetti,2,2,2,3,4,2,2,2,3,2,2,3,1,2,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,4,2,1,3,3,-24,-20,-44
