Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
1,ElJorge,2,2,4,1,2,1,2,2,2,2,2,2,2,3,2,2,1,3,2,2,2,3,2,2,2,2,2,4,1,2,3,3,3,2,2,3,-27,-25,-52
2,his.Dudeness,3,2,2,4,2,2,1,2,2,2,1,2,2,3,2,2,2,3,2,3,2,3,2,2,2,2,2,3,2,2,2,3,2,2,3,4,-25,-24,-49
3,INDY,2,2,2,4,2,3,1,2,2,2,1,2,3,3,2,2,3,5,3,2,2,3,2,2,2,3,2,6,2,2,2,3,2,2,2,3,-21,-22,-43
4,CleverFellow,2,3,2,4,2,1,3,2,3,2,1,4,2,2,3,2,2,2,3,2,2,4,2,3,3,2,3,2,2,2,2,3,3,2,5,4,-22,-18,-40
5,YUK1N,2,2,2,4,1,1,1,2,4,2,1,2,2,4,2,3,4,3,2,3,2,4,2,3,2,2,2,7,2,2,2,3,2,4,2,4,-22,-17,-39
5,Zanetti,2,2,2,4,2,1,4,3,3,2,1,2,2,3,3,3,2,3,2,3,2,3,2,3,2,2,2,4,2,3,2,4,2,2,2,6,-20,-19,-39
7,Bear313,2,2,2,5,2,1,3,2,3,3,3,2,2,5,2,2,2,3,2,2,2,3,3,2,2,2,2,4,2,2,2,3,2,3,1,8,-18,-20,-38
8,GUS,2,3,3,6,2,3,1,2,2,2,1,2,2,2,3,3,3,3,2,4,2,3,2,3,2,2,2,6,2,2,2,3,2,2,2,6,-19,-18,-37
9,B8Y,2,2,4,6,1,1,1,1,3,2,3,3,2,3,3,3,1,4,2,5,2,3,2,2,2,2,4,4,2,3,2,3,2,5,2,3,-19,-17,-36
9,FIRE_321,2,2,3,3,1,1,3,3,3,2,2,2,2,4,2,3,3,4,2,6,2,3,4,2,3,2,2,3,2,3,2,3,3,1,3,4,-19,-17,-36
9,KCRob,3,2,2,3,2,3,2,3,4,2,2,2,2,3,3,3,2,3,2,3,2,3,2,2,3,2,3,3,2,3,2,4,2,4,3,4,-18,-18,-36
12,Blutes87,2,2,4,4,2,2,1,2,4,2,3,2,2,3,2,2,2,4,2,3,2,3,2,2,4,2,2,5,2,2,2,3,2,4,3,6,-19,-16,-35
12,Browner,2,2,2,3,2,2,1,2,3,2,3,2,2,4,2,2,2,2,2,4,2,3,4,2,2,2,2,5,3,7,2,3,2,4,2,5,-24,-11,-35
12,Squeezy_Jibbz,2,2,3,4,2,2,3,4,4,2,3,2,2,3,2,2,2,5,3,2,2,3,2,3,2,2,2,4,2,2,2,3,2,4,1,6,-15,-20,-35
15,Burn1,2,2,3,4,2,3,1,2,3,3,3,3,3,4,2,2,3,2,2,2,2,4,3,2,2,2,3,3,2,3,3,3,2,4,2,6,-17,-17,-34
15,Matt916,2,2,4,4,2,2,1,2,6,2,1,2,4,3,2,2,3,5,2,3,2,3,2,2,2,3,2,5,3,2,2,4,2,3,2,4,-15,-19,-34
17,Calassy,2,3,2,4,2,2,1,2,3,2,3,3,2,3,2,4,2,4,3,3,2,3,2,3,2,3,2,5,2,2,2,3,2,2,2,9,-18,-15,-33
17,Midaswell,3,2,3,5,2,2,2,3,3,2,1,3,2,3,3,2,2,2,3,3,2,3,2,3,2,2,5,6,2,2,2,3,2,5,2,4,-19,-14,-33
17,Nick,2,2,2,4,2,3,1,2,3,3,1,3,2,4,2,2,2,6,2,3,2,3,2,3,3,2,2,4,2,2,2,4,2,2,2,10,-18,-15,-33
20,Anuebus,2,2,3,4,2,2,1,2,3,3,2,3,2,3,4,2,5,4,2,3,2,4,2,3,2,3,2,3,2,2,2,5,2,3,4,4,-15,-17,-32
21,SD_Diver,3,3,4,6,1,3,1,3,3,2,2,3,2,3,2,4,3,4,2,3,2,5,2,3,3,2,2,3,2,2,2,3,2,3,2,5,-12,-19,-31
21,Stewie,2,2,2,4,2,2,2,2,3,2,1,2,3,4,2,3,4,4,2,5,3,3,3,4,2,2,3,3,2,2,2,3,2,3,3,7,-18,-13,-31
21,StrokeLimitReached,4,2,3,8,2,2,2,2,2,2,3,2,2,3,3,3,2,2,3,3,2,6,2,2,2,3,2,7,2,2,2,3,3,2,2,3,-15,-16,-31
24,DiscflingerADK,2,2,3,4,2,2,1,2,3,3,3,3,2,3,3,3,2,3,2,3,3,4,3,3,3,3,2,7,2,2,2,2,4,2,2,6,-18,-12,-30
24,deebee64,2,2,3,4,3,2,2,2,4,2,1,4,2,5,2,3,3,2,2,3,2,3,2,3,3,2,4,6,2,3,2,3,2,2,4,5,-16,-14,-30
26,Aaron5701,2,2,5,5,2,1,1,3,3,2,1,4,2,3,3,1,1,9,2,4,2,4,2,3,3,4,2,5,2,2,3,3,2,5,2,2,-14,-15,-29
26,Wild-it's gone left-,2,2,3,4,2,2,1,4,4,3,1,4,2,3,3,2,1,8,1,3,2,3,3,3,2,2,2,4,2,2,2,3,2,2,3,10,-13,-16,-29
28,Old-T,3,2,2,6,1,3,2,2,4,2,3,3,2,4,3,4,2,3,2,3,2,3,2,3,2,2,2,6,2,4,2,3,2,4,3,5,-13,-15,-28
28,TrickyDicky,2,2,2,4,1,2,3,2,2,2,2,3,2,3,3,2,2,3,2,3,3,5,2,3,3,3,2,10,2,4,2,3,3,2,2,7,-22,-6,-28
30,Captain_Shook,2,3,3,7,1,2,3,2,4,4,1,3,2,3,3,2,2,2,2,3,2,4,2,3,4,2,2,3,2,2,2,4,3,4,8,3,-15,-12,-27
30,Julian1830,2,3,3,5,2,3,1,2,3,2,2,2,2,5,2,1,3,5,2,2,2,5,2,4,3,2,2,7,3,2,2,3,2,4,2,7,-16,-11,-27
30,Mau,2,3,3,5,2,1,2,2,3,3,3,2,2,4,3,2,3,5,2,3,3,3,2,3,4,2,2,6,2,2,2,4,2,4,4,4,-14,-13,-27
30,Snow,2,2,3,5,2,2,3,2,3,2,3,3,2,4,4,2,2,2,2,4,2,4,2,2,3,3,3,6,2,2,2,3,3,3,3,7,-16,-11,-27
34,Caramel,2,2,3,8,2,2,1,2,4,2,2,5,2,3,4,3,2,3,2,5,2,4,2,2,2,3,3,4,2,2,2,3,2,4,6,3,-12,-14,-26
34,FainNeinGudTwain,3,2,2,5,2,1,2,3,4,2,3,3,3,4,2,4,1,4,3,2,2,3,4,2,2,3,4,3,3,5,2,3,2,3,6,3,-14,-12,-26
36,Joaquinypunto,2,2,3,4,2,1,1,2,3,2,2,2,2,3,3,4,3,4,2,4,2,4,2,2,2,3,4,8,2,3,2,7,4,2,3,5,-19,-6,-25
36,Peach,2,3,4,5,2,3,1,2,4,2,4,3,2,4,2,4,2,2,3,2,3,3,3,3,4,2,2,1,2,2,2,3,3,3,4,10,-13,-12,-25
38,Autodidactic,3,2,6,5,2,2,3,2,4,2,1,2,2,4,2,3,3,3,2,5,3,4,3,3,2,2,4,3,2,3,2,5,3,3,2,5,-13,-11,-24
38,GreatGoose,2,2,2,4,2,1,2,2,4,2,3,3,2,3,3,3,4,4,3,7,2,3,2,3,3,2,2,4,2,2,2,3,2,3,8,6,-16,-8,-24
