Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
1,INDY,1,2,2,1,2,2,3,2,1,2,3,2,2,2,2,2,2,3,1,2,2,3,3,1,2,3,3,2,2,5,2,2,3,2,1,5,-26,-23,-49
2,CleverFellow,5,2,2,2,2,2,2,3,1,2,2,2,3,3,2,2,3,3,2,2,2,3,3,1,2,2,2,2,2,4,2,2,4,2,2,1,-19,-27,-46
3,Midaswell,2,2,2,2,2,2,1,2,2,2,4,1,2,2,2,2,2,3,2,3,3,3,3,2,2,2,3,3,2,4,3,2,2,3,3,3,-25,-19,-44
4,Burn1,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,2,3,3,2,2,3,3,3,1,3,3,3,2,1,3,2,2,4,4,2,5,-24,-19,-43
4,Mau,2,3,2,3,2,3,1,2,1,2,4,2,2,3,2,2,2,3,2,2,2,3,2,2,3,3,2,2,3,3,2,2,3,3,2,4,-21,-22,-43
6,GUS,1,2,2,2,4,3,1,2,1,2,4,3,2,2,2,3,2,3,2,2,3,3,3,1,3,2,3,3,3,4,2,3,3,2,1,3,-21,-21,-42
6,his.Dudeness,2,2,2,2,2,3,1,2,2,3,5,2,2,3,2,2,2,3,2,3,3,3,3,1,2,3,2,2,2,4,4,3,2,2,2,2,-20,-22,-42
8,Calassy,2,2,2,2,3,3,2,3,1,2,3,2,2,2,2,2,2,4,1,3,2,3,3,2,2,4,4,3,3,3,2,3,3,3,1,3,-21,-19,-40
9,Bear313,2,2,2,2,2,2,1,2,1,2,2,3,2,2,2,2,2,3,2,2,6,3,4,1,2,4,4,2,2,5,2,2,3,2,1,7,-26,-13,-39
9,Matt916,2,2,2,2,2,2,1,4,2,2,2,3,2,2,2,2,5,3,2,2,5,3,3,2,2,2,3,3,2,8,2,2,2,2,1,2,-20,-19,-39
9,McLovin,3,2,2,2,2,3,1,3,2,2,3,3,2,4,2,4,2,5,2,4,2,2,3,1,2,2,2,2,2,4,2,2,3,3,1,4,-15,-24,-39
9,YUK1N,2,2,2,3,2,3,1,2,2,2,4,2,2,3,2,2,2,5,1,2,4,2,3,2,3,3,2,2,2,3,3,2,4,2,3,4,-19,-20,-39
9,Zanetti,3,2,2,2,2,2,1,2,2,2,6,4,2,2,1,2,2,3,2,3,3,2,3,2,2,4,7,2,2,4,2,1,3,2,1,3,-20,-19,-39
14,SD_Diver,2,2,2,3,2,3,1,4,2,2,3,4,2,2,2,3,2,3,2,2,4,2,3,1,2,3,2,2,3,3,4,2,3,2,3,4,-18,-20,-38
15,Browner,2,2,3,2,2,4,3,2,2,1,3,3,2,3,1,3,3,3,2,2,2,3,3,1,2,2,3,3,3,4,4,2,2,3,4,3,-18,-19,-37
16,ARMY_OF_ONE,2,2,2,2,2,3,2,2,3,2,2,4,2,2,2,2,4,5,2,3,3,5,3,1,2,3,2,2,2,4,2,2,3,3,1,5,-17,-19,-36
16,ElJorge,2,2,2,2,2,4,2,2,2,3,3,3,2,2,2,2,3,2,1,2,3,3,3,1,2,5,4,2,2,3,3,2,2,3,3,7,-20,-16,-36
16,Squidy19,2,2,3,2,2,3,3,3,4,2,2,2,3,2,2,2,2,3,1,3,3,3,4,2,2,2,3,4,2,4,2,3,3,2,1,5,-18,-18,-36
19,B8Y,2,2,3,2,2,2,3,2,2,3,3,2,2,5,1,2,2,4,2,3,4,3,2,1,3,3,3,4,2,4,3,2,4,4,1,3,-18,-16,-34
19,Blutes87,2,3,2,2,2,3,2,2,2,2,4,3,2,2,2,2,4,2,2,5,4,3,2,2,2,2,3,2,2,4,2,3,3,5,1,5,-19,-15,-34
21,FainNeinGudTwain,2,2,2,2,4,3,2,2,2,2,4,5,2,2,2,2,2,4,2,2,3,3,4,1,2,2,4,3,2,4,2,2,3,2,1,8,-16,-17,-33
21,Toaster,3,3,2,3,2,3,2,2,2,2,4,2,3,2,2,2,2,3,2,3,5,6,3,1,2,2,3,2,3,4,2,2,3,2,1,6,-18,-15,-33
23,G0nz0nater,3,2,2,2,2,2,3,2,2,2,4,2,2,2,2,2,3,4,2,2,7,3,4,1,2,3,3,3,2,4,3,2,4,3,2,4,-19,-13,-32
23,StrokeLimitReached,1,2,2,2,2,3,2,3,2,4,4,3,2,2,1,2,4,3,2,3,5,3,3,2,2,2,3,2,3,7,2,2,5,1,2,4,-18,-14,-32
25,ForRealForReal,3,2,1,2,2,4,2,2,2,2,6,4,3,2,2,2,3,3,2,3,3,2,3,2,2,2,2,5,2,3,2,3,3,2,2,8,-15,-16,-31
25,Tmoes,3,2,2,2,2,2,3,2,2,2,3,5,3,2,3,2,2,3,3,2,4,3,5,2,2,3,3,2,3,5,3,2,4,3,1,3,-17,-14,-31
27,GreatGoose,2,2,1,2,2,2,2,3,2,2,5,2,3,2,1,3,3,3,3,2,3,2,6,4,3,5,3,2,3,4,2,2,4,4,2,3,-20,-10,-30
27,Rolyt,3,3,2,2,2,2,3,3,1,3,4,2,2,3,2,2,3,3,2,2,4,4,4,2,2,3,5,2,2,4,3,2,3,3,4,3,-17,-13,-30
27,TrickyDicky,3,2,2,2,3,2,2,2,2,3,3,3,2,2,2,2,4,3,2,2,3,2,3,3,3,3,2,2,1,7,2,5,4,3,4,4,-18,-12,-30
30,Anuebus,2,2,2,3,2,3,2,2,2,2,4,2,2,3,3,2,2,4,2,2,6,2,5,2,2,5,2,2,2,5,3,2,4,3,1,6,-18,-11,-29
30,DERBY_DAZ,2,4,2,1,2,4,2,2,1,2,5,3,2,2,2,2,4,3,3,2,3,3,4,1,2,4,3,3,1,4,2,6,4,2,3,5,-17,-12,-29
30,Dude_Lebowski,2,2,2,5,6,4,2,2,2,2,2,2,2,2,2,4,3,3,1,2,3,5,3,1,3,4,3,3,3,5,3,2,3,2,1,4,-13,-16,-29
30,FIRE_321,3,2,2,2,3,3,2,2,1,2,6,2,2,2,2,3,2,3,2,2,4,4,3,1,5,2,3,2,3,4,3,4,4,3,3,4,-18,-11,-29
30,Gopats37,1,3,2,2,4,2,1,3,2,2,6,4,2,2,1,1,2,4,2,3,2,3,3,2,3,4,3,3,2,4,3,2,3,3,3,8,-18,-11,-29
