Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
1,INDY,1,1,1,1,1,2,3,1,2,2,2,2,2,2,2,1,2,4,2,2,3,2,2,4,2,2,4,2,2,3,3,2,2,2,2,2,-32,-21,-53
2,McLovin,1,2,1,2,1,2,2,1,2,2,2,3,2,3,2,2,1,3,2,2,3,2,3,4,3,1,4,3,4,2,3,2,1,1,2,3,-30,-19,-49
3,Zanetti,1,1,1,2,3,2,2,1,2,2,1,2,2,3,3,2,1,3,2,3,4,3,2,2,3,2,3,3,3,2,3,2,2,2,2,3,-30,-18,-48
4,ElJorge,2,1,2,2,2,2,3,1,2,2,2,3,2,3,2,2,1,2,2,2,3,2,4,3,3,2,2,4,3,3,3,2,1,2,2,3,-28,-18,-46
4,ForRealForReal,1,2,1,3,1,2,5,1,1,2,2,2,2,3,3,2,2,3,1,2,3,3,3,2,3,2,2,3,3,2,2,2,1,4,2,4,-26,-20,-46
4,Rolyt,1,2,2,2,1,2,4,1,2,2,1,2,2,2,3,2,2,3,2,2,4,2,4,3,2,2,3,2,4,3,3,2,1,2,3,2,-28,-18,-46
7,his.Dudeness,1,2,2,2,2,2,2,1,2,2,1,4,2,3,3,2,2,3,2,2,2,2,3,4,4,2,2,2,3,4,3,2,1,2,3,2,-26,-19,-45
8,GreatGoose,1,1,2,2,1,2,2,1,2,3,2,3,2,6,2,2,1,3,2,2,3,2,4,5,3,2,2,2,3,2,2,5,1,1,3,2,-26,-18,-44
8,Toaster,1,2,2,2,1,2,3,1,2,3,2,2,2,3,2,2,2,5,3,2,3,2,2,3,3,2,2,3,4,3,2,3,1,2,2,3,-25,-19,-44
10,GUS,2,2,1,1,2,2,2,1,1,3,3,2,2,3,2,2,2,3,2,2,3,4,3,3,3,2,2,3,4,3,3,2,3,2,2,3,-28,-15,-43
11,Dude_Lebowski,2,2,2,2,1,2,2,1,2,2,1,2,3,4,2,2,2,3,2,2,2,4,4,3,2,2,2,4,6,2,4,2,2,1,2,3,-27,-15,-42
12,Calassy,1,2,2,2,3,2,2,1,2,2,1,3,2,4,3,2,2,3,3,2,2,3,3,4,3,2,2,3,3,4,2,2,2,2,2,4,-25,-16,-41
