Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
60,willsy13,2,2,2,2,2,2,3,4,3,2,2,2,2,3,2,3,7,1,2,2,2,3,2,5,4,3,4,3,3,2,2,2,4,2,2,8,-17,-6,-23
65,HarrisonJamesG,2,2,2,2,2,3,4,3,3,2,3,4,2,2,3,2,3,4,2,2,3,3,2,2,3,2,2,3,2,2,3,2,6,2,3,10,-15,-7,-22
65,Monsoon,2,3,3,2,2,2,3,3,4,2,3,3,2,3,2,2,7,3,2,2,2,4,3,3,3,3,2,5,2,2,3,2,4,2,4,3,-12,-10,-22
65,TIGERHOODS,2,3,3,2,2,3,2,4,2,1,2,3,2,3,5,1,6,2,2,4,3,3,3,5,3,2,4,3,2,2,2,2,5,5,2,2,-15,-7,-22
65,deebee64,3,3,3,3,4,3,3,4,2,1,2,2,3,3,4,1,3,4,1,3,3,4,3,3,3,3,3,2,2,2,2,3,3,1,2,8,-12,-10,-22
69,Nitroustorm,2,2,3,2,3,2,2,2,3,3,3,3,3,3,2,3,5,5,2,3,3,3,3,3,3,3,2,3,2,2,3,4,6,2,3,2,-12,-9,-21
69,Sid470,2,2,3,2,3,1,3,4,1,2,4,2,2,2,2,2,4,2,2,3,5,3,4,5,4,2,2,2,2,2,3,2,8,3,1,7,-20,-1,-21
71,the_dak,2,3,2,3,2,2,2,3,2,1,5,4,2,5,2,2,3,1,2,3,2,3,3,5,3,4,2,3,4,2,5,2,2,4,1,8,-17,-3,-20
72,ForRealForReal,2,3,2,2,3,2,2,5,3,1,2,2,3,2,2,2,13,3,2,2,5,3,3,2,3,3,2,2,2,2,3,2,5,3,2,6,-9,-9,-18
72,Halfpint,2,3,2,2,3,2,2,3,2,1,2,4,2,4,3,2,3,3,2,2,4,3,3,3,3,3,3,4,4,2,3,4,3,2,3,10,-18,0,-18
72,joshbenesh,2,3,2,2,3,3,2,3,3,1,2,4,2,3,2,2,8,2,2,3,4,3,3,3,5,3,2,3,4,2,2,2,5,2,2,7,-14,-4,-18
75,Anuebus,2,2,3,2,3,4,3,6,1,2,4,2,2,3,2,5,4,4,3,2,3,3,3,3,3,2,3,3,3,2,2,3,3,2,2,8,-9,-8,-17
76,BaruMonkey,2,3,2,3,3,2,3,3,2,1,4,5,2,2,2,3,6,2,2,3,3,3,4,5,3,3,2,3,2,4,3,3,6,3,4,2,-13,-3,-16
76,Emill,2,3,2,3,2,3,2,3,2,4,5,2,2,2,2,2,4,1,2,3,7,3,3,3,3,6,3,3,2,3,4,2,4,3,2,6,-17,1,-16
76,Grezza,2,3,3,4,2,2,2,3,3,1,2,2,2,3,4,3,4,5,2,2,5,3,4,3,3,3,5,5,2,2,4,2,3,2,2,6,-13,-3,-16
79,Arizona Flasher,2,3,2,2,2,2,2,3,3,1,2,4,2,3,2,3,3,4,2,2,3,3,3,3,2,3,3,5,4,2,5,4,8,2,7,3,-18,3,-15
79,Lifeisgood,1,2,2,4,3,3,2,3,3,4,4,3,3,2,5,2,5,3,1,2,2,3,3,3,3,3,7,3,3,2,5,2,4,3,1,5,-9,-6,-15
81,Indianchief,2,1,3,3,3,4,2,4,3,2,4,2,2,3,2,3,4,3,2,3,3,3,3,4,4,3,3,4,4,2,3,3,8,1,4,4,-13,0,-13
82,Rainedrop184,2,3,2,3,3,2,2,4,2,2,5,3,2,3,3,2,4,3,2,3,3,4,3,3,3,3,3,3,2,2,6,3,4,3,2,10,-13,1,-12
83,NuttyGrandpa,2,3,3,5,3,2,2,8,2,2,3,2,2,2,2,4,4,2,3,2,4,3,3,3,5,3,3,3,3,2,3,3,8,1,3,7,-10,1,-9
83,strype9,2,3,2,3,4,2,2,4,3,2,7,3,2,2,3,3,4,4,2,3,2,3,3,3,3,3,3,3,3,4,6,5,6,3,2,3,-8,-1,-9
85,QuestPete,2,4,4,4,3,5,3,3,3,1,2,3,2,3,5,6,4,3,3,2,3,3,3,3,4,3,2,3,4,2,3,5,8,2,3,5,-3,0,-3
86,ChristieS727,2,3,4,3,2,2,5,5,3,1,3,2,2,3,3,3,6,3,3,3,4,3,3,3,6,5,6,3,2,4,3,3,8,2,3,10,-8,13,5
87,southren_jenn_76,2,4,2,2,3,3,2,4,4,1,5,5,2,6,2,4,7,4,4,3,2,3,4,3,3,4,8,3,4,3,3,4,8,2,2,6,-1,8,7
88,Skorpzz,2,2,3,7,2,2,2,9,2,3,5,3,2,3,2,2,8,1,2,3,7,5,3,8,3,5,4,7,2,2,3,2,8,2,5,6,-3,16,13
