Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
64,strype9,3,2,4,2,3,2,4,3,2,2,3,2,3,2,2,2,3,3,2,2,3,2,4,4,4,3,3,4,2,3,5,3,5,3,3,5,-8,-7,-15
67,NuttyGrandpa,3,2,3,3,3,2,2,3,2,3,4,2,2,2,2,2,2,3,2,2,2,2,8,3,4,4,4,8,2,2,5,2,5,3,3,3,-10,-3,-13
68,Monsoon,2,2,4,4,2,2,2,3,3,3,4,2,3,2,2,2,2,2,2,5,3,2,3,4,4,2,3,6,3,4,6,2,5,2,3,5,-9,-3,-12
69,Arizona Flasher,2,2,2,4,2,4,3,5,2,3,3,1,2,2,2,3,4,4,3,4,3,2,4,4,4,2,3,4,2,2,4,3,5,3,5,4,-5,-6,-11
69,Ludachris,2,2,3,4,2,2,3,3,3,2,3,2,2,2,3,2,3,2,2,2,5,2,5,4,4,2,3,4,3,3,5,4,9,2,3,4,-10,-1,-11
69,QuestPete,2,2,3,2,2,2,3,4,2,4,3,2,3,2,2,2,1,3,5,3,3,2,4,4,6,3,3,5,4,3,4,2,5,4,3,4,-11,0,-11
72,ET154,2,2,2,2,3,1,3,3,2,3,2,2,2,2,3,3,1,3,2,2,3,2,4,5,4,3,4,8,4,3,5,2,5,4,2,9,-14,4,-10
72,joshbenesh,2,2,4,2,3,2,2,5,2,3,4,1,2,2,2,2,4,4,4,2,3,2,4,4,5,2,3,6,2,3,4,3,4,5,3,5,-7,-3,-10
74,Lifeisgood,2,2,5,4,3,2,4,3,2,3,3,2,2,2,1,3,5,3,4,2,3,2,1,3,8,3,4,4,3,3,5,3,5,3,2,4,-4,-5,-9
74,Snow,3,2,5,2,3,2,3,3,2,2,2,2,5,2,2,3,2,2,2,3,3,2,8,4,3,2,4,6,2,5,5,3,4,2,4,4,-8,-1,-9
76,GREZZA,2,3,3,3,3,2,4,2,2,2,5,1,3,2,3,4,3,3,2,3,3,2,2,5,8,2,4,3,2,5,5,3,5,4,3,3,-5,-3,-8
77,Indianchief,3,3,2,2,3,2,2,4,2,2,2,2,2,2,3,3,3,2,3,2,4,2,5,5,6,2,3,8,3,3,4,3,6,4,2,6,-11,4,-7
77,Krys,2,2,6,2,3,2,2,4,2,4,2,1,2,2,2,4,1,4,3,4,5,4,3,4,4,2,4,6,3,4,4,3,6,2,3,4,-8,1,-7
77,Nick,2,2,2,4,2,2,3,3,2,2,4,2,2,2,2,2,6,3,2,4,3,2,6,7,4,2,3,3,2,4,5,4,4,3,3,7,-8,1,-7
80,Jennem,2,2,4,2,2,2,2,2,3,2,3,2,2,2,2,3,3,5,2,2,6,2,5,4,6,2,3,3,3,5,5,5,4,3,4,7,-10,4,-6
81,WickedShack,2,2,7,3,2,2,2,3,2,3,7,2,2,3,4,4,1,2,3,2,3,2,4,4,5,5,3,4,2,3,4,3,9,5,3,6,-2,3,1
82,Beldemar,3,2,3,3,5,3,3,4,3,3,3,2,2,2,3,2,1,3,4,2,8,3,4,4,5,3,4,4,2,4,5,3,5,3,3,8,-5,7,2
83,GingaNinja19,4,2,3,5,2,3,4,3,2,2,4,2,2,2,2,3,1,4,2,4,7,4,8,5,5,3,3,4,2,3,5,3,8,4,3,9,-5,15,10
84,Julian1830,2,2,3,2,3,1,5,3,2,6,2,3,2,2,3,4,2,3,4,3,5,3,2,5,8,2,3,6,4,4,7,7,9,4,2,5,-5,16,11
85,Mulligan,2,3,3,2,2,3,3,3,2,4,2,2,2,2,4,2,1,3,3,4,5,4,5,6,5,4,5,5,4,4,6,4,6,5,4,6,-10,18,8
