Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
1,Zanetti,2,1,1,2,2,2,3,2,3,3,2,1,2,1,3,1,2,2,1,1,3,2,1,1,3,3,2,2,2,2,2,2,3,1,2,3,-24,-23,-47
2,INDY,1,1,1,2,3,2,2,1,2,3,2,1,2,1,3,1,2,2,2,2,2,4,1,1,2,3,2,2,2,2,2,2,3,3,2,3,-27,-19,-46
3,Browner,2,2,2,2,2,2,2,2,1,3,2,2,2,2,3,2,2,2,2,2,2,2,3,2,4,2,3,2,3,2,2,2,3,2,2,2,-22,-17,-39
4,Caramel,2,1,2,2,3,2,3,2,1,4,2,2,2,2,3,1,2,2,3,2,3,2,3,2,3,3,2,2,2,2,2,2,3,2,2,3,-21,-16,-37
4,ElJorge,3,1,2,2,3,2,3,2,1,3,3,2,2,2,3,1,2,2,1,2,3,2,2,2,4,2,1,2,2,3,2,2,3,3,2,4,-20,-17,-37
4,ichibuho,2,2,2,2,2,2,2,2,1,3,2,2,2,2,4,2,2,2,2,2,3,3,2,2,3,3,2,2,2,2,2,2,4,1,2,4,-21,-16,-37
7,Dadndan,2,1,2,2,2,2,2,3,2,3,2,2,2,1,5,2,3,2,2,2,2,3,2,2,3,5,2,2,2,2,2,2,3,2,2,2,-19,-17,-36
7,G0nz0nater,2,1,2,2,2,2,3,2,3,4,2,1,2,2,3,2,2,2,2,2,4,1,2,2,4,5,3,2,2,1,2,2,3,2,2,2,-20,-16,-36
7,Matt916,2,2,2,1,2,2,2,3,1,3,2,1,2,2,4,2,2,2,3,2,3,3,3,2,3,3,2,2,2,2,2,2,3,4,2,2,-22,-14,-36
7,StrokeLimitReached,2,1,2,2,3,2,2,3,1,3,3,3,2,2,2,1,3,2,2,2,3,2,3,2,2,3,2,2,3,2,2,2,3,3,2,3,-20,-16,-36
11,Duckk,2,2,2,2,2,2,3,2,1,3,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3,4,3,2,3,2,3,1,4,3,2,2,-21,-14,-35
11,YUK1N,2,1,2,2,3,2,3,2,1,4,2,2,2,4,3,1,2,2,3,2,2,2,4,1,3,2,2,2,2,3,2,2,3,3,2,3,-19,-16,-35
13,Mike190,2,2,3,2,2,2,3,4,3,3,2,2,2,2,4,1,2,2,3,2,3,2,1,2,2,3,5,2,2,1,2,2,3,2,2,2,-16,-18,-34
14,Blutes87,1,2,2,2,3,2,2,3,1,3,2,2,3,2,5,2,2,2,2,2,5,3,1,2,3,4,1,2,2,1,2,2,3,4,2,3,-18,-15,-33
14,Calassy,2,2,3,2,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,4,2,1,3,4,3,2,2,2,2,2,2,3,3,3,3,-19,-14,-33
14,GUS,2,1,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,2,3,2,2,2,2,2,2,6,3,4,3,2,2,2,3,3,2,2,-21,-12,-33
14,RyRy2K22,2,1,3,3,4,2,1,2,1,2,2,2,2,2,3,2,2,2,2,2,4,2,3,3,3,4,2,2,2,2,2,2,3,3,3,3,-21,-12,-33
18,AndyP1970,2,1,2,2,2,2,3,2,1,4,2,2,3,1,3,2,2,2,2,2,4,3,1,2,4,3,3,2,2,3,1,2,3,4,3,4,-21,-11,-32
18,CleverFellow,2,3,2,1,2,2,2,4,2,3,3,2,2,2,3,1,2,2,1,2,2,2,2,3,3,3,4,2,2,2,2,4,3,3,2,4,-19,-13,-32
18,DERBY_DAZ,2,1,2,2,2,2,2,2,2,3,3,2,2,3,4,2,3,2,2,2,4,3,2,2,3,4,3,2,3,1,2,2,4,1,2,3,-18,-14,-32
18,Mau,2,1,2,1,3,2,2,2,2,5,2,2,2,1,3,2,2,2,3,2,4,3,2,5,2,4,2,2,2,2,2,2,3,3,2,3,-21,-11,-32
