Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
1,INDY,1,2,2,2,2,3,2,1,3,3,4,2,2,2,2,3,3,2,4,2,1,2,3,2,3,1,2,2,1,2,2,3,3,3,3,2,-20,-27,-47
2,Burn1,1,2,2,2,2,3,2,1,4,2,2,2,2,2,2,1,1,2,3,2,2,2,3,3,3,2,2,2,1,3,2,7,2,2,3,4,-26,-20,-46
2,GreatGoose,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,4,2,1,2,4,2,3,2,2,3,3,2,2,2,5,2,3,3,3,3,3,-27,-19,-46
4,Browner,2,3,1,2,2,2,2,3,4,2,2,2,2,2,1,4,2,5,2,2,2,3,1,3,3,1,2,2,2,3,1,4,3,3,3,2,-18,-26,-44
4,DiscflingerADK,1,2,2,2,4,3,2,1,6,2,2,3,1,2,1,2,3,3,3,3,2,3,3,3,3,2,2,2,1,2,2,2,2,3,3,2,-19,-25,-44
6,B8Y,2,2,2,2,2,4,2,1,2,1,4,3,2,2,1,3,2,3,3,3,2,2,3,3,3,2,2,2,1,3,2,3,2,3,3,5,-21,-21,-42
6,Zanetti,2,1,2,2,2,2,2,4,3,4,3,2,2,2,2,1,2,1,2,3,2,3,4,3,3,2,2,3,4,2,2,3,3,2,2,3,-22,-20,-42
8,Midaswell,1,1,1,2,2,3,1,1,5,2,3,2,2,2,1,1,2,1,3,2,1,7,3,2,3,3,4,3,3,3,3,4,3,3,3,2,-28,-13,-41
8,his.Dudeness,2,2,2,2,3,2,1,1,7,2,3,3,2,5,1,2,2,3,3,2,2,3,1,3,2,2,3,3,1,5,2,2,2,2,3,2,-16,-25,-41
10,Bear313,2,2,2,2,2,2,2,1,4,1,3,3,2,2,1,2,2,7,3,2,2,2,4,2,2,4,2,2,3,2,1,5,3,3,3,2,-19,-21,-40
10,Calassy,1,2,2,2,2,3,2,2,3,2,2,2,3,3,2,2,2,2,3,3,2,4,4,3,2,3,2,3,2,3,2,3,2,2,3,4,-22,-18,-40
10,SD_Diver,2,2,2,2,2,2,2,1,2,2,4,3,2,3,2,1,2,3,4,3,1,2,3,3,2,2,1,4,3,3,2,5,3,3,3,3,-22,-18,-40
13,ElJorge,2,1,2,2,2,2,2,1,2,2,3,2,2,2,2,1,3,4,3,5,2,3,4,3,4,5,2,3,1,3,2,4,2,2,3,2,-24,-15,-39
13,gopats37,2,2,2,2,2,2,2,3,4,2,4,2,2,2,2,2,2,1,4,3,3,3,2,4,3,2,3,3,2,3,2,2,4,2,3,2,-21,-18,-39
15,Matt916,2,1,2,2,2,4,2,1,3,2,3,3,2,3,2,2,2,3,4,2,2,3,2,3,3,2,2,4,2,2,2,5,4,2,4,2,-20,-18,-38
15,willsy13,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,3,4,2,3,6,3,1,2,2,2,2,3,2,5,2,2,4,5,-23,-15,-38
17,SqueezyJibbz,2,2,2,2,3,3,1,1,4,2,3,2,3,2,2,1,2,2,3,3,2,4,4,3,3,2,3,2,1,3,1,4,4,3,3,5,-22,-15,-37
17,TrippinBill,1,2,2,2,2,3,2,1,2,2,4,3,1,2,2,2,2,2,4,3,1,3,5,3,4,2,2,3,1,5,2,4,5,3,3,2,-24,-13,-37
19,Caramel,1,2,2,2,2,3,2,1,3,2,3,3,3,4,2,2,2,4,4,3,2,3,3,3,3,3,2,2,2,2,3,4,3,3,3,2,-18,-18,-36
19,Emill,1,2,2,2,2,3,2,1,2,2,4,3,2,3,3,2,1,1,3,4,1,3,3,3,2,3,2,4,3,3,2,4,6,2,5,2,-23,-13,-36
19,Rolyt,1,2,2,2,2,3,2,1,2,4,3,2,2,3,2,2,3,2,4,4,2,2,3,3,3,3,3,3,3,3,2,5,2,3,3,2,-21,-15,-36
19,TIGERHOODS,2,3,2,2,2,4,2,1,2,2,3,3,2,2,3,2,2,1,4,3,2,3,3,4,4,2,2,3,2,2,2,3,3,2,2,7,-21,-15,-36
23,KCROB,1,3,2,2,2,4,2,1,3,1,3,2,3,3,2,2,3,3,3,3,2,3,4,3,3,5,2,3,2,4,2,4,3,2,2,2,-19,-16,-35
23,TresWolfe,2,2,1,3,2,4,2,2,3,2,4,3,2,2,2,1,2,2,5,3,1,2,3,4,3,2,2,3,2,1,2,6,4,3,5,2,-20,-15,-35
23,YUK1N,2,1,2,2,2,2,2,3,3,2,4,2,2,4,1,3,3,2,3,2,2,3,3,3,3,2,2,2,1,5,2,5,3,2,3,6,-19,-16,-35
23,deebee64,1,1,2,2,3,4,2,1,4,2,2,3,3,2,3,2,3,2,4,4,2,4,2,4,1,2,2,3,1,3,2,4,3,2,3,6,-19,-16,-35
23,rockthecraft,2,2,2,3,3,3,2,1,2,2,3,3,2,4,1,2,2,2,3,4,1,6,3,4,4,2,2,3,2,2,3,5,2,2,3,2,-20,-15,-35
