Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
1,ElJorge,1,1,2,2,3,2,2,1,2,2,1,2,2,3,2,2,1,3,2,2,2,3,2,3,3,3,2,2,2,2,2,3,3,1,2,2,-30,-20,-50
2,Burn1,1,1,2,2,1,2,2,1,2,2,1,2,2,4,1,2,2,3,2,2,2,3,3,3,3,3,2,3,2,2,2,2,3,1,2,3,-31,-18,-49
3,HBKid,2,1,1,2,2,2,2,1,2,4,1,2,2,2,2,2,2,3,2,2,3,3,2,2,3,3,2,2,2,2,3,2,3,2,2,2,-29,-19,-48
4,CleverFellow,1,2,1,2,1,2,3,1,2,2,1,2,2,3,2,2,2,3,2,2,3,3,3,2,3,2,2,3,2,2,2,2,3,2,2,4,-30,-17,-47
4,INDY,1,2,1,2,2,2,3,1,1,2,2,3,2,2,2,2,1,2,2,2,2,3,2,3,3,3,2,2,2,2,3,2,4,2,2,4,-31,-16,-47
4,RyRy2k22,1,1,2,1,1,2,3,1,2,3,2,2,2,2,2,1,2,3,2,3,2,3,4,3,3,3,2,2,2,2,2,2,3,3,2,2,-31,-16,-47
4,Zanetti,1,2,1,3,2,2,3,1,2,2,1,2,2,2,2,2,2,3,2,2,2,3,2,3,2,3,2,3,2,2,2,3,4,2,2,2,-29,-18,-47
4,his.Dudeness,2,1,2,2,1,2,3,1,1,3,1,2,2,2,2,2,2,3,2,2,3,3,2,2,3,3,2,3,2,2,2,2,3,2,2,4,-30,-17,-47
9,Duckk,1,1,2,2,2,2,2,1,1,2,2,2,2,2,2,3,2,2,2,2,3,3,3,3,2,3,5,2,2,2,3,2,5,2,2,2,-31,-13,-44
10,Bear313,1,2,2,2,1,2,4,1,2,3,2,2,2,2,2,2,2,4,2,2,3,3,3,4,2,3,2,2,2,2,3,2,3,2,2,2,-26,-17,-43
10,Browner,1,2,1,3,1,2,3,1,1,3,1,2,2,2,3,3,2,3,2,3,2,3,3,2,4,2,2,2,2,3,2,3,4,1,2,4,-28,-15,-43
10,KCROB,1,2,1,3,3,2,1,1,2,2,1,3,2,3,2,2,3,5,2,2,3,3,3,3,2,3,3,2,2,2,2,2,4,1,1,3,-25,-18,-43
13,Blutes87,1,2,2,2,2,2,2,1,2,2,2,3,2,2,3,3,3,3,2,2,2,3,3,3,3,2,3,4,2,2,2,2,3,2,2,2,-25,-17,-42
13,SqueezyJibbZ,1,2,2,2,2,2,2,1,2,3,2,2,2,3,2,2,3,3,3,2,2,3,3,2,2,3,2,3,3,2,4,3,2,1,2,3,-26,-16,-42
15,ForRealForReal,1,2,1,2,1,2,2,1,1,2,2,4,2,5,3,2,1,4,2,2,4,3,3,3,3,2,3,2,3,2,2,3,3,2,2,2,-26,-15,-41
16,Autodidactic,1,1,2,2,2,2,2,1,2,2,2,2,2,4,3,2,2,4,2,2,2,3,3,3,3,3,2,3,2,2,4,2,3,1,3,4,-26,-14,-40
16,Caramel,2,2,2,3,1,2,3,1,2,2,1,4,2,3,2,2,2,4,2,2,2,3,3,4,3,3,2,3,3,2,2,2,4,1,2,2,-24,-16,-40
16,TIGERHOODS,1,2,1,3,2,2,2,1,2,2,2,3,2,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,-25,-15,-40
16,TrippinBill,1,1,2,2,2,2,3,1,3,4,2,3,2,3,2,3,2,2,2,2,2,3,3,3,3,3,3,2,2,2,3,2,4,2,2,2,-24,-16,-40
20,ChicagoBry,1,1,2,3,3,2,2,1,3,3,2,2,2,4,3,2,2,4,2,2,3,3,3,3,3,3,2,2,2,2,2,2,3,2,3,2,-22,-17,-39
20,G0nz0nater,1,2,2,3,3,2,1,1,2,3,2,2,2,3,2,1,3,5,2,2,2,4,3,3,3,3,4,3,2,2,2,2,3,2,2,2,-24,-15,-39
20,StrokeLimitReached,1,1,1,2,3,2,3,1,2,2,2,2,2,3,3,2,2,3,2,3,3,3,3,3,2,3,3,2,2,2,3,2,6,3,2,2,-27,-12,-39
20,akamiked,2,2,1,2,2,2,2,1,3,2,1,2,2,3,3,2,2,4,2,2,3,3,3,3,2,3,3,3,2,2,3,2,4,3,2,3,-26,-13,-39
24,Dadndan,1,2,1,2,1,2,2,1,3,3,2,3,2,4,2,2,2,3,2,3,3,3,3,3,2,3,2,3,2,2,3,2,5,2,2,4,-26,-12,-38
24,FugoHallarin,1,3,2,2,3,2,2,1,2,2,2,2,2,5,2,2,2,4,2,2,3,3,3,3,3,3,2,2,2,2,2,3,4,2,2,3,-23,-15,-38
24,Monsoon,1,2,1,2,2,2,2,1,2,3,2,4,2,3,2,2,3,2,2,2,3,3,3,3,3,3,3,4,2,2,3,2,5,2,2,2,-26,-12,-38
24,Rich8523,1,2,2,1,1,2,2,1,2,2,2,3,2,5,2,3,1,3,2,4,2,3,3,4,4,2,3,3,2,2,4,2,3,2,2,3,-27,-11,-38
24,Yoda,2,1,2,2,3,2,2,1,2,2,2,2,2,2,3,2,2,3,2,2,3,3,3,3,2,2,5,3,2,2,4,3,3,2,2,4,-27,-11,-38
24,crowsteve,1,1,2,4,2,2,2,1,2,2,1,2,2,3,2,2,2,4,2,2,3,4,3,3,3,3,3,3,2,2,2,2,7,1,2,3,-27,-11,-38
30,AndyP1970,2,2,2,3,2,2,2,1,2,3,2,4,2,3,2,2,1,2,2,2,3,3,3,3,3,5,2,3,2,2,2,2,4,2,2,4,-25,-12,-37
30,Captain_Sr,2,1,2,3,1,2,2,1,2,4,2,2,2,3,2,2,3,3,3,2,4,4,2,3,3,3,2,2,2,4,3,2,4,2,2,2,-25,-12,-37
30,Dude_Lebowski,2,1,2,2,2,2,2,1,2,2,2,2,2,3,2,2,2,3,2,2,4,2,3,2,4,3,3,3,2,2,2,2,6,2,3,5,-28,-9,-37
30,ET154,1,2,1,3,1,2,4,2,2,3,1,3,2,3,3,2,3,4,2,2,3,3,3,2,3,3,3,3,2,2,2,3,3,2,3,2,-22,-15,-37
30,Halfpint,1,2,2,3,1,2,2,1,3,2,2,3,2,4,3,3,3,3,2,2,2,3,3,3,2,3,2,4,3,2,2,2,3,1,2,5,-22,-15,-37
30,Jennem,1,2,1,2,2,2,3,3,2,1,2,3,2,6,4,1,2,3,2,2,3,3,3,3,3,3,3,3,2,2,2,3,3,3,2,1,-22,-15,-37
36,Korndog,1,2,2,4,1,2,3,1,2,2,1,4,2,5,2,2,3,4,2,2,4,3,3,3,3,3,2,3,2,2,2,2,3,2,2,3,-21,-15,-36
36,Rolyt,2,1,2,4,2,2,3,2,2,3,2,2,2,4,2,2,2,2,2,2,2,3,3,3,3,3,3,4,2,2,2,2,3,2,2,5,-23,-13,-36
36,The Master,1,1,2,2,2,2,3,1,2,2,2,4,2,3,2,2,1,5,2,2,3,2,3,4,3,3,2,3,2,2,2,2,8,1,2,4,-25,-11,-36
39,B8Y,1,2,2,3,1,2,2,1,2,2,2,2,2,5,4,2,2,3,2,3,3,3,3,3,4,3,2,3,2,2,2,2,3,1,3,6,-24,-11,-35
39,Lake180,2,1,2,4,2,2,2,1,2,2,2,2,2,3,3,3,2,3,2,2,3,3,3,3,3,3,4,3,3,2,3,2,3,3,3,2,-24,-11,-35
39,Mau,2,2,1,2,2,2,6,1,2,3,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,2,5,3,2,2,2,3,5,1,3,3,-24,-11,-35
39,Old-T,2,2,1,3,1,2,5,1,1,2,2,4,2,4,2,2,3,4,2,3,3,3,3,3,3,3,2,3,2,2,2,4,3,2,2,2,-21,-14,-35
39,willsy13,1,2,2,2,3,2,2,1,2,4,2,2,2,4,2,2,2,2,2,2,6,4,3,3,3,3,2,2,1,2,2,2,4,2,2,6,-25,-10,-35
44,AmberWave,2,2,1,2,3,2,5,1,2,2,2,2,3,4,3,2,2,6,2,2,3,3,3,3,3,3,2,3,2,2,2,2,3,2,2,3,-18,-16,-34
44,Brad.,1,3,3,3,2,2,3,1,2,2,2,2,2,4,2,2,3,2,2,2,2,3,5,2,4,3,3,5,2,2,3,3,3,2,1,3,-23,-11,-34
44,CoryDoesShots,2,2,1,3,1,2,3,1,2,3,1,2,2,3,3,2,2,4,2,2,3,3,3,3,3,4,4,5,2,2,2,2,3,2,2,5,-25,-9,-34
44,DiscflingerADK,2,1,2,2,2,2,4,1,2,2,1,3,2,3,2,2,2,4,2,2,3,3,3,2,4,3,3,3,3,2,3,2,5,1,2,6,-25,-9,-34
44,GUS,1,3,1,2,2,2,2,1,3,1,1,3,2,2,4,3,1,4,2,2,3,3,4,2,3,3,2,2,2,2,4,2,8,3,4,2,-26,-8,-34
44,Mulligan,1,2,2,2,2,2,5,1,2,2,3,4,2,4,2,2,4,3,2,3,2,3,3,5,3,3,2,3,2,2,3,2,2,2,2,2,-19,-15,-34
44,Ptarmigan61,1,3,2,2,3,2,3,1,2,2,2,3,2,7,2,1,3,3,1,2,3,3,3,3,3,3,3,4,2,2,2,2,3,1,3,4,-20,-14,-34
44,chileC.O.W.,2,1,2,2,1,2,3,1,2,2,2,4,2,3,2,2,1,6,2,2,3,3,3,4,3,3,4,3,3,2,3,2,4,2,2,3,-24,-10,-34
52,Bankerpops,2,2,2,3,2,2,3,1,2,3,3,2,2,7,1,2,3,3,2,2,3,3,4,3,3,3,2,3,2,2,2,2,3,2,2,4,-19,-14,-33
52,Bartimaeus,1,1,2,3,3,3,3,2,2,3,2,2,2,4,2,2,1,3,3,2,3,3,3,3,3,3,3,3,2,4,2,3,4,2,2,3,-23,-10,-33
52,Calassy,2,2,1,2,3,2,3,1,2,4,1,2,2,5,2,2,2,3,2,2,3,3,3,3,5,3,2,4,2,2,3,2,3,2,2,5,-23,-10,-33
52,Nitroustorm,1,2,2,3,2,2,4,1,2,2,2,2,2,4,2,2,2,3,2,2,3,3,3,4,3,3,2,4,2,2,3,3,6,3,2,2,-24,-9,-33
52,SteveSkillman,1,2,3,3,1,2,4,1,2,2,2,3,2,3,2,1,3,4,2,2,3,3,3,3,3,3,3,3,2,2,2,2,6,2,3,4,-23,-10,-33
52,ichibuho,2,2,2,4,2,2,4,1,2,3,2,3,2,6,2,3,3,3,2,2,3,3,2,3,3,2,2,2,2,2,3,2,3,2,2,4,-16,-17,-33
58,Star fox,2,3,2,2,2,2,2,1,1,2,2,3,2,7,2,3,1,4,2,3,2,3,3,7,2,3,3,2,2,2,2,2,7,1,2,2,-21,-11,-32
58,TheRick,1,2,2,3,2,2,2,1,2,2,2,2,3,4,3,2,2,4,2,2,3,3,3,4,4,2,3,3,2,3,3,4,4,3,2,2,-23,-9,-32
58,WaltSobchak,1,2,2,2,2,3,3,1,3,3,1,3,2,4,3,2,2,4,2,3,3,3,3,4,3,3,3,3,2,2,2,2,4,1,2,5,-21,-11,-32
58,WhiskerWitch,1,2,1,4,3,2,3,1,3,2,2,3,2,3,2,3,2,3,2,3,3,3,3,3,3,3,5,3,2,2,3,2,4,2,2,3,-22,-10,-32
62,Brian_oConner,1,1,2,3,2,2,3,1,2,2,2,6,2,4,3,2,3,3,2,3,3,2,3,2,3,5,3,4,2,2,3,2,4,3,2,2,-20,-11,-31
63,Oculus_Prime,1,3,2,2,2,2,4,1,2,3,2,3,2,2,2,2,1,2,2,4,3,3,5,3,5,3,2,3,2,2,3,2,5,2,4,4,-26,-4,-30
63,Steakfest,2,2,2,3,1,2,4,1,2,4,2,2,2,4,3,2,2,2,2,2,3,3,2,4,3,3,4,3,3,2,5,3,5,2,2,2,-22,-8,-30
63,steven_T,1,1,1,3,2,2,2,1,2,2,2,3,2,5,2,2,3,2,2,2,3,3,3,3,4,3,3,3,2,2,6,3,8,2,2,3,-26,-4,-30
66,FIRE_321,2,2,2,3,2,3,3,1,2,2,2,2,2,4,2,2,3,4,2,2,2,3,3,3,3,3,3,3,2,2,5,2,4,3,3,6,-21,-7,-28
67,CHI CHI RODRIGUEZ,1,2,1,3,2,2,4,1,2,4,2,4,2,3,3,2,1,6,2,3,2,3,3,3,2,2,4,4,2,2,3,2,7,2,2,5,-19,-8,-27
67,Mike190,1,3,2,3,1,2,3,3,2,3,1,2,2,5,4,2,2,4,2,3,3,3,3,3,3,3,3,3,2,2,2,4,2,3,4,5,-19,-8,-27
67,Snow,1,2,1,6,1,2,2,1,2,3,2,3,2,4,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,5,4,2,6,-21,-6,-27
67,weekendDJ,2,2,2,2,3,2,3,1,3,4,2,3,3,5,2,3,3,3,2,2,2,3,3,3,3,3,5,4,2,2,3,2,4,2,2,3,-16,-11,-27
71,D3bb13,2,2,2,3,2,3,2,2,3,3,2,6,2,3,2,2,3,4,2,2,3,3,3,3,3,3,4,3,2,2,3,2,3,4,2,4,-16,-10,-26
71,Missi,2,2,3,3,2,2,3,1,2,3,2,3,3,4,3,3,2,2,2,3,3,3,3,3,3,4,2,3,4,2,4,2,4,3,3,3,-19,-7,-26
71,deebee64,2,1,2,3,3,2,3,1,1,2,1,5,2,3,2,3,3,9,2,2,2,3,2,4,3,2,3,5,3,3,2,2,4,3,2,4,-16,-10,-26
71,gopats37,2,2,2,2,3,2,3,1,2,2,2,2,2,3,3,2,3,4,2,3,2,3,3,3,3,3,5,4,2,2,2,3,4,1,2,10,-22,-4,-26
75,Jed,3,1,2,3,1,2,3,1,3,3,1,2,2,3,3,3,2,4,2,3,3,3,3,5,4,3,3,4,2,2,3,3,8,2,2,3,-22,-3,-25
