Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
1,Brad.,1,1,2,3,2,2,2,1,1,2,2,2,2,3,2,2,2,2,2,2,2,3,4,1,2,2,2,4,2,5,2,2,4,2,3,3,-30,-20,-50
2,GreatGoose,1,2,1,2,2,2,2,1,1,2,2,3,2,4,3,2,2,3,3,3,2,3,3,1,2,3,2,3,2,4,2,2,2,2,1,5,-27,-22,-49
3,CleverFellow,2,1,2,1,2,2,3,1,2,3,2,3,2,3,2,1,2,3,2,2,4,2,3,2,2,3,2,2,2,4,3,2,4,2,1,5,-27,-20,-47
3,FIRE_321,1,3,2,2,1,2,4,1,2,2,2,2,2,2,3,2,3,2,2,2,3,4,3,1,2,2,2,2,3,4,3,2,3,2,4,2,-26,-21,-47
5,SqueezyJibbZ,1,1,2,2,2,2,2,1,2,2,2,3,2,3,2,1,1,3,2,4,5,3,4,1,2,3,2,2,2,4,3,4,3,3,1,3,-30,-16,-46
6,INDY,1,2,2,2,2,2,2,1,2,3,2,2,2,3,2,2,2,2,2,4,6,3,4,1,2,2,2,2,3,4,2,2,3,2,1,5,-28,-17,-45
6,Zanetti,1,2,2,2,1,2,2,1,2,3,1,2,2,3,3,2,2,4,2,2,3,3,3,1,3,2,4,3,3,4,3,3,3,3,1,3,-27,-18,-45
8,Bear313,2,2,2,2,2,3,3,1,2,2,2,3,2,3,2,2,1,3,2,2,3,3,6,1,2,2,3,3,2,4,4,2,3,2,1,3,-25,-19,-44
8,GUS,2,2,2,2,1,2,3,1,2,3,2,2,3,3,3,2,2,3,2,2,3,2,4,2,2,3,3,2,2,4,2,3,2,2,1,6,-24,-20,-44
10,Burn1,2,1,2,2,3,2,2,1,2,2,1,2,2,3,2,1,1,3,2,3,5,3,3,2,2,2,2,2,2,4,2,3,4,2,1,10,-30,-13,-43
10,SD_Diver,1,2,2,3,2,2,2,1,2,2,1,3,2,3,3,2,3,2,1,3,4,3,3,2,2,2,4,2,3,4,3,2,5,2,1,4,-26,-17,-43
10,SteveSkillman,1,2,1,2,1,2,2,1,2,4,1,3,2,4,3,2,2,2,2,3,3,3,3,1,2,4,3,2,1,6,2,3,3,2,3,5,-27,-16,-43
13,TrickyDicky,1,1,1,2,3,2,4,1,2,3,1,3,2,4,3,2,2,2,4,2,7,2,3,2,2,3,3,2,1,4,3,2,4,2,1,3,-25,-17,-42
14,DiscflingerADK,1,2,3,2,1,2,2,1,2,2,2,2,3,6,2,2,2,2,4,4,3,3,3,2,2,3,2,2,2,3,2,5,4,2,1,4,-25,-16,-41
15,4whlr,2,1,2,2,2,3,3,1,2,3,1,2,2,4,2,2,1,6,3,3,4,3,3,2,2,2,3,2,2,5,2,2,4,2,2,4,-23,-17,-40
15,Lake180,1,2,2,3,1,2,3,1,2,2,1,4,2,4,2,2,2,3,2,2,2,3,7,2,3,2,3,2,3,3,2,3,2,2,4,5,-25,-15,-40
15,Midaswell,1,2,2,4,2,2,2,1,2,4,2,2,2,3,2,1,3,2,2,2,3,2,3,1,2,2,3,2,2,5,2,1,5,4,3,8,-25,-15,-40
18,B8Y,1,2,1,2,1,2,2,1,2,2,2,5,2,3,2,2,2,4,2,2,6,3,3,1,2,3,3,3,3,5,3,4,3,2,1,5,-26,-13,-39
18,Mau,2,2,1,3,1,2,5,1,2,2,3,2,3,4,3,2,2,2,2,2,2,5,3,1,2,4,5,2,3,3,3,3,3,2,1,4,-22,-17,-39
18,Old-T,1,2,3,2,2,2,2,1,2,3,1,2,2,4,2,2,2,4,1,3,3,5,3,2,2,4,5,2,2,4,2,2,3,3,3,4,-25,-14,-39
21,Dude_Lebowski,1,2,2,4,2,2,3,1,2,3,2,3,2,2,3,1,2,4,2,2,5,2,2,3,2,4,4,3,3,4,2,2,3,3,1,5,-23,-15,-38
21,ForRealForReal,1,2,2,3,1,2,2,1,2,3,2,2,2,5,3,2,2,6,3,3,2,3,3,1,3,3,2,3,2,5,2,4,3,3,2,3,-21,-17,-38
21,McLovin,2,2,1,3,2,2,2,1,2,3,1,2,4,3,1,2,3,5,1,3,5,3,3,1,5,5,2,2,2,5,2,2,3,3,1,4,-23,-15,-38
21,YUK1N,1,1,1,2,2,2,3,1,2,2,1,3,2,3,2,2,2,4,2,2,7,3,2,1,2,3,3,3,4,4,3,5,3,3,1,6,-28,-10,-38
21,gopats37,1,2,2,4,1,2,2,2,2,2,2,2,2,4,2,3,1,3,2,2,3,3,3,1,5,3,4,4,1,5,2,3,3,3,1,6,-25,-13,-38
21,his.Dudeness,1,1,1,1,2,2,4,1,2,2,2,5,2,4,2,2,2,3,3,2,3,3,3,2,2,6,3,2,2,3,2,2,4,3,1,8,-25,-13,-38
27,Matt916,2,1,2,2,3,2,2,1,2,2,2,4,2,4,2,2,2,3,2,4,4,3,3,1,2,4,4,2,2,4,2,3,3,3,3,5,-24,-13,-37
28,Peach,2,2,2,2,1,2,3,1,2,2,1,3,2,4,2,2,2,5,3,2,5,2,2,1,2,2,2,3,3,6,3,2,2,2,4,9,-24,-12,-36
