Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
1,INDY,2,1,2,3,2,2,3,2,3,2,1,2,3,2,1,1,3,1,2,2,2,2,4,2,2,2,3,2,2,5,2,2,1,1,2,2,-25,-24,-49
2,his.Dudeness,1,2,2,2,2,2,3,2,2,3,2,2,3,2,1,1,3,3,2,2,2,2,2,3,3,2,3,3,2,5,3,2,1,1,4,3,-23,-19,-42
2,ichibuho,2,2,2,1,3,2,5,2,2,2,1,3,3,2,3,2,3,2,2,2,2,2,2,3,3,2,2,3,2,3,3,2,2,2,2,2,-19,-23,-42
4,CleverFellow,2,1,2,1,3,2,2,2,3,2,1,2,4,2,2,1,3,2,2,2,3,3,2,4,3,2,5,3,2,4,3,2,2,2,2,2,-24,-16,-40
4,ElJorge,1,1,2,2,2,2,2,3,3,1,1,2,4,2,3,1,3,3,2,2,2,2,4,3,2,2,2,3,4,2,3,2,1,4,3,4,-23,-17,-40
6,GreatGoose,2,1,2,2,3,2,4,2,3,2,2,2,3,2,1,1,2,2,2,2,2,4,4,3,2,2,3,3,4,5,2,3,1,1,3,3,-23,-15,-38
6,Mulligan,2,1,2,2,2,2,2,2,2,1,1,2,3,2,2,6,3,2,2,2,2,3,2,3,2,2,2,5,4,5,3,4,1,1,2,3,-22,-16,-38
6,Rolyt,1,1,2,2,2,2,2,2,1,2,1,2,5,4,2,3,3,2,2,2,3,3,3,2,3,1,3,3,3,4,3,3,1,2,5,2,-22,-16,-38
6,akamiked,1,2,2,3,2,2,2,2,3,3,1,2,3,2,2,3,2,2,2,3,3,3,3,4,3,2,4,2,4,2,2,2,1,2,3,3,-22,-16,-38
10,B8Y,1,1,2,2,2,2,4,1,2,2,1,2,3,2,3,3,3,2,2,2,2,3,5,2,3,2,3,4,4,4,3,2,1,2,3,3,-23,-14,-37
10,Burn1,1,2,1,2,2,2,2,2,2,2,1,2,3,2,2,5,3,2,2,2,3,4,2,3,4,2,2,3,7,4,2,2,2,1,2,3,-23,-14,-37
12,GUS,2,1,2,2,2,2,2,2,2,2,2,2,5,2,2,2,3,3,1,2,2,3,2,5,5,1,3,3,5,4,2,2,1,2,2,4,-21,-15,-36
13,AndyP1970,2,3,2,2,2,2,2,2,2,3,1,1,3,2,4,1,3,2,2,2,3,2,2,3,4,2,4,3,2,7,2,2,2,2,4,3,-22,-13,-35
14,HBKid,1,3,2,2,3,2,3,2,2,1,2,2,3,2,2,1,3,3,2,2,2,2,2,4,3,2,7,3,3,3,2,2,3,5,3,2,-22,-12,-34
14,Jed,1,2,2,2,3,2,2,3,2,2,2,2,3,2,4,1,3,2,2,2,3,3,3,8,3,3,2,3,3,2,2,3,1,3,2,3,-21,-13,-34
14,Matt916,2,1,2,2,2,2,2,3,1,3,2,3,3,2,2,3,3,2,2,3,3,2,3,2,3,2,2,2,3,7,3,3,4,2,2,3,-21,-13,-34
14,Nitroustorm,2,1,2,2,3,2,2,2,2,3,1,2,3,2,2,2,2,2,2,2,3,4,5,4,3,3,2,4,3,5,3,2,3,1,2,3,-24,-10,-34
14,Yoda,1,1,2,3,2,3,3,2,2,2,1,2,3,2,6,1,4,3,2,2,2,2,4,3,3,2,3,3,3,2,3,2,2,3,5,2,-18,-16,-34
19,4whlr,2,3,2,2,2,2,2,3,2,2,1,3,3,2,2,3,3,1,2,2,3,2,3,4,5,2,2,3,5,3,2,5,2,1,3,3,-21,-12,-33
19,Blutes87,2,3,2,3,3,2,3,2,3,2,2,3,3,2,1,2,3,2,2,2,3,3,3,5,3,2,4,2,3,3,4,2,1,2,2,3,-18,-15,-33
19,Calassy,2,2,2,2,2,2,2,3,2,2,1,3,3,2,2,2,3,2,2,2,3,2,3,3,4,2,2,4,6,5,2,2,1,1,4,5,-22,-11,-33
19,NERD_HULK_HOGAN,1,1,2,2,2,2,2,3,3,2,1,3,3,2,3,1,3,3,2,2,3,3,2,3,2,2,4,4,4,5,3,4,2,3,2,3,-22,-11,-33
23,ET154,1,1,2,3,3,3,2,2,3,2,1,3,3,2,1,2,2,2,3,2,3,2,3,4,3,2,5,6,3,4,2,2,1,1,3,6,-23,-9,-32
23,FugoHallarin,1,2,2,3,2,2,3,2,2,3,1,3,4,2,6,1,3,3,2,2,2,2,3,5,3,2,4,3,4,4,3,2,1,2,2,2,-16,-16,-32
23,Zanetti,1,1,2,2,3,2,2,2,2,3,1,2,3,2,4,2,3,2,1,2,2,4,4,3,3,2,3,3,5,8,2,2,2,2,3,3,-22,-10,-32
23,chileC.O.W.,1,2,2,3,3,2,3,3,2,2,1,2,4,2,3,1,3,3,2,2,3,3,4,7,3,1,2,3,4,3,3,2,1,2,3,3,-19,-13,-32
