Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
1,INDY,2,2,2,2,1,2,2,2,3,2,1,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,3,2,1,1,2,4,3,2,2,-29,-19,-48
2,his.Dudeness,2,2,3,6,1,1,4,2,3,1,1,2,2,3,3,1,1,3,2,2,2,2,3,2,2,3,2,3,1,2,2,2,3,2,2,2,-23,-21,-44
3,Blutes87,2,2,3,3,2,1,2,2,3,2,1,2,2,3,2,2,3,5,2,2,2,2,2,2,2,2,2,3,2,3,3,1,4,1,2,3,-22,-20,-42
3,CleverFellow,1,2,2,4,2,1,2,2,2,2,2,2,2,4,2,2,2,2,3,2,2,2,2,2,3,2,4,3,2,3,2,2,4,2,2,2,-26,-16,-42
3,Zanetti,2,2,2,5,1,1,1,3,2,2,1,2,2,2,3,1,3,2,2,2,2,2,2,2,2,2,2,3,2,4,3,2,3,2,5,3,-27,-15,-42
6,Burn1,2,2,3,3,2,1,2,2,3,2,1,2,2,2,2,3,2,3,2,2,2,2,3,3,2,3,4,3,2,2,1,3,3,2,3,2,-25,-16,-41
6,CHI CHI RODRIGUEZ,2,2,4,3,1,3,1,2,3,2,2,2,2,3,3,3,3,2,3,3,2,2,3,2,2,2,3,3,2,1,1,1,4,1,2,3,-21,-20,-41
6,GUS,2,2,2,6,2,1,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,1,2,6,3,2,4,1,1,4,2,2,2,-23,-18,-41
6,Tmoes,2,2,2,5,2,2,1,2,3,2,1,2,2,4,3,3,1,2,2,1,2,2,3,2,3,2,2,3,2,3,2,2,4,3,2,2,-23,-18,-41
6,YUK1N,2,2,3,5,2,1,2,2,3,2,2,2,1,3,3,3,3,3,2,2,2,3,3,2,2,2,2,3,2,1,1,3,2,2,2,3,-20,-21,-41
11,Bear313,2,2,3,4,2,1,1,2,3,2,1,3,2,3,3,2,2,3,2,3,2,2,2,2,4,4,3,5,2,2,1,1,2,2,2,3,-23,-16,-39
11,Duckk,2,2,3,4,2,2,2,1,4,3,2,2,2,3,2,1,3,3,2,2,2,2,2,2,3,2,2,4,2,4,1,2,3,2,3,2,-21,-18,-39
13,Mau,2,2,3,3,2,2,4,2,3,2,1,2,2,3,3,2,3,2,3,2,2,3,2,2,4,2,2,3,2,4,1,1,4,2,2,2,-21,-17,-38
14,Browner,2,2,3,4,2,1,1,3,4,2,1,2,2,2,2,2,4,3,3,4,2,3,2,2,2,4,3,3,2,2,2,2,2,2,3,3,-22,-14,-36
14,ElJorge,2,2,2,3,2,2,3,2,4,2,1,3,2,3,2,1,3,2,4,1,2,2,4,2,2,2,3,4,2,3,2,3,2,2,4,3,-23,-13,-36
14,G0nz0nater,2,2,3,3,1,2,2,1,3,3,2,4,2,3,3,2,2,5,2,3,2,2,4,2,4,3,2,3,2,2,1,2,3,2,2,2,-19,-17,-36
17,SqueezyJibbZ,3,2,4,3,1,3,1,2,2,2,1,2,2,3,4,3,2,4,2,3,2,3,1,2,3,2,3,3,2,3,2,3,3,2,3,3,-20,-15,-35
18,Calassy,2,2,2,4,2,2,2,2,3,2,1,3,2,4,3,2,4,3,3,2,2,3,3,2,3,2,2,3,2,4,2,1,3,3,3,2,-19,-15,-34
18,FIRE_321,2,3,2,4,1,3,1,1,4,3,2,3,2,3,2,2,2,2,4,4,3,2,4,2,2,3,3,3,2,2,1,2,3,3,2,3,-22,-12,-34
18,RyRy2k22,2,2,4,5,2,1,3,2,3,1,1,2,2,4,3,3,2,2,2,3,2,3,2,1,2,2,3,3,2,4,2,2,4,4,2,3,-20,-14,-34
18,steven_T,2,2,4,4,2,2,1,2,3,2,2,3,2,3,3,2,1,3,2,3,3,2,2,2,3,2,3,5,2,3,2,2,3,3,3,2,-21,-13,-34
22,HBKid,4,2,3,4,2,3,1,2,3,2,2,2,2,3,3,1,3,5,2,2,3,2,2,2,3,3,2,3,2,3,3,2,3,2,2,3,-17,-16,-33
22,Rolyt,4,2,4,3,1,3,1,2,3,2,2,2,2,3,3,4,2,3,2,3,2,2,4,2,2,2,3,3,2,2,2,4,4,2,2,2,-18,-15,-33
22,gopats37,2,2,3,4,2,1,4,2,4,3,1,2,2,4,2,1,3,2,3,4,3,2,2,2,3,2,2,4,2,2,2,3,3,3,2,3,-20,-13,-33
25,Korndog,3,2,3,5,2,2,1,2,3,2,1,2,2,3,2,3,2,5,3,3,2,2,2,4,3,3,2,4,2,2,1,3,4,2,2,3,-19,-13,-32
26,Jed,2,2,3,4,2,2,2,3,2,2,2,2,2,4,2,2,2,2,2,3,2,2,4,2,4,6,2,4,2,2,2,2,3,4,2,3,-22,-9,-31
26,TIGERHOODS,2,2,4,4,2,2,2,2,5,2,1,3,2,3,4,2,2,2,2,4,2,2,3,2,3,3,3,3,2,3,2,2,4,2,2,3,-18,-13,-31
28,FugoHallarin,2,2,4,4,2,2,2,2,3,3,1,2,2,4,3,3,2,3,2,4,2,2,2,2,3,3,2,4,2,2,2,2,5,2,3,4,-18,-12,-30
29,Old-T,1,2,3,5,2,2,1,2,3,2,3,2,2,2,2,4,4,7,2,4,3,2,2,2,3,2,2,3,2,3,1,2,5,2,2,5,-15,-13,-28
29,TrippinBill,2,2,3,6,2,2,2,3,3,2,1,2,2,6,2,3,2,5,3,3,4,2,3,2,4,3,2,3,2,3,1,1,3,2,2,3,-14,-14,-28
31,B8Y,2,2,4,4,2,3,2,2,4,2,1,3,3,3,5,5,3,2,2,2,2,3,3,2,2,4,2,3,2,3,2,2,3,3,2,3,-12,-15,-27
31,Captain_Sr,2,2,3,4,1,2,1,3,3,2,2,2,2,2,3,3,3,2,2,4,3,2,4,2,3,2,3,6,2,5,2,2,4,2,5,2,-22,-5,-27
31,Dadndan,2,2,3,6,2,3,3,2,2,2,1,3,2,2,5,2,2,2,2,4,7,2,2,2,3,2,3,3,2,3,3,2,4,2,2,3,-18,-9,-27
31,GreatGoose,2,2,5,3,2,1,1,3,3,2,2,3,2,3,6,4,2,2,4,2,5,2,2,2,2,2,4,3,2,3,3,2,3,2,2,4,-16,-11,-27
31,Ptarmigan61,2,2,2,6,2,1,2,2,5,2,2,2,3,2,4,2,2,2,2,3,2,3,4,3,3,3,3,3,2,6,2,3,3,3,2,2,-19,-8,-27
31,RaineDrop184,3,2,3,8,2,3,3,1,2,2,2,3,2,4,4,3,3,3,3,3,2,2,3,2,3,2,2,4,2,2,1,2,4,2,3,2,-11,-16,-27
31,Yoda,2,2,3,5,2,1,3,2,4,2,1,3,2,2,8,3,2,2,2,3,2,3,2,2,3,3,3,3,2,5,1,2,4,3,2,3,-15,-12,-27
31,crowsteve,2,2,3,3,2,2,2,2,2,2,2,2,2,3,4,3,2,5,3,3,3,2,2,2,5,2,2,3,2,3,3,4,5,2,4,2,-19,-8,-27
39,Brad.,2,2,3,8,2,2,1,3,3,3,2,3,2,2,2,4,2,5,3,2,2,2,2,1,2,5,2,3,2,3,2,4,3,4,3,2,-13,-13,-26
39,DERBY_DAZ,3,2,2,4,2,2,3,2,4,2,3,2,2,3,3,3,2,3,3,3,2,2,3,2,2,3,3,3,2,3,2,2,6,3,4,3,-17,-9,-26
41,JacksonHoleInOne,2,3,3,3,1,2,2,2,3,2,2,3,2,3,3,2,2,9,3,3,5,2,3,2,3,2,3,3,2,4,1,2,3,3,2,4,-15,-10,-25
41,Joaquinypunto,2,2,3,4,3,2,2,2,4,2,4,2,2,3,2,2,3,4,2,3,3,2,3,3,2,4,3,3,2,5,2,2,4,3,3,2,-16,-9,-25
41,Lake180,2,2,3,4,2,2,3,2,2,2,2,2,2,4,5,2,2,4,3,4,3,4,2,2,2,2,3,4,2,3,2,2,4,4,4,2,-17,-8,-25
41,willsy13,3,2,3,4,3,2,2,2,3,2,1,2,2,2,3,2,4,2,3,4,4,2,2,2,3,2,3,4,2,2,1,4,4,3,2,8,-20,-5,-25
45,CoryDoesShots,2,2,2,5,2,2,1,2,2,2,1,2,2,3,3,3,2,8,2,2,2,2,3,2,5,2,4,3,2,3,2,4,7,2,5,3,-18,-5,-23
45,D3bb13,3,2,2,5,2,2,2,2,2,2,3,3,2,3,4,3,3,4,2,1,2,3,2,4,3,3,3,3,2,4,1,4,4,3,4,4,-15,-8,-23
45,KCROB,3,2,2,6,1,2,2,2,3,2,2,7,2,4,2,3,4,6,2,3,6,2,2,2,2,2,3,3,2,2,1,3,3,3,3,2,-9,-14,-23
45,Matt916,2,2,3,5,2,1,3,2,2,2,2,2,2,4,4,2,2,7,2,3,2,2,4,4,4,2,3,5,2,3,1,1,5,2,4,3,-15,-8,-23
45,Monsoon,2,3,3,4,2,2,3,3,5,3,3,2,2,2,3,3,2,7,3,2,2,2,3,2,3,2,2,3,2,2,2,2,5,3,5,2,-10,-13,-23
45,SteveSkillman,2,3,3,6,2,2,2,2,3,3,2,3,2,3,2,2,4,8,3,2,2,2,2,4,3,3,2,3,2,3,1,1,4,3,3,4,-10,-13,-23
45,WaltSobchak,4,2,4,5,2,2,1,2,3,2,3,2,2,3,3,2,3,5,2,3,2,3,3,4,3,4,3,3,2,3,1,2,4,3,2,4,-14,-9,-23
45,ichibuho,3,2,3,6,2,3,1,2,3,2,2,3,2,3,2,2,4,4,2,3,3,2,3,2,3,2,4,5,1,3,1,2,4,2,2,8,-15,-8,-23
53,Bartimaeus,4,3,3,5,2,2,3,2,3,2,2,3,2,3,5,3,2,5,3,3,2,2,3,2,3,3,5,3,2,3,2,2,3,2,3,2,-10,-12,-22
53,Dude_Lebowski,3,2,5,4,2,2,3,2,3,2,1,3,2,3,2,4,3,3,3,2,2,2,2,3,5,3,3,3,2,3,1,2,4,2,3,8,-15,-7,-22
53,MrTee,3,2,3,3,2,2,1,2,4,2,3,3,2,3,3,1,2,7,3,3,3,2,4,3,2,3,3,3,2,2,3,2,3,4,5,4,-16,-6,-22
53,NERD_HULK_HOGAN,2,2,3,5,2,2,1,2,3,2,3,3,2,4,4,2,4,4,2,2,2,2,4,2,4,4,3,4,2,3,3,3,4,3,2,3,-14,-8,-22
57,Emill,2,4,3,4,2,2,2,1,3,3,2,3,2,4,3,2,2,4,4,4,3,3,3,6,2,3,2,4,2,3,1,3,3,2,4,3,-16,-5,-21
57,ForRealForReal,2,2,5,8,2,1,3,2,2,2,2,3,2,3,2,2,2,4,3,2,4,3,2,4,2,2,3,3,2,3,4,3,4,1,5,4,-15,-6,-21
57,Ronsgard,2,2,3,4,3,3,2,3,4,2,4,3,2,3,2,3,2,5,3,4,3,3,2,2,2,3,6,3,2,2,2,2,3,3,2,4,-12,-9,-21
57,chileC.O.W.,2,4,2,5,2,2,2,3,3,2,1,3,2,5,2,2,3,7,3,3,2,2,2,4,3,2,4,4,2,2,3,2,4,3,3,3,-12,-9,-21
61,Caramel,3,2,4,5,2,2,2,2,3,2,1,2,2,4,4,2,2,3,3,2,3,3,2,7,4,3,2,4,2,3,2,2,4,2,3,6,-17,-3,-20
61,bogibo,4,3,4,4,2,2,2,3,3,2,3,2,3,3,4,2,3,3,2,2,2,2,2,4,3,2,4,5,2,3,5,3,4,3,2,2,-12,-8,-20
63,Autodidactic,3,2,3,3,2,1,2,4,3,2,3,2,2,3,2,3,2,7,3,4,2,3,2,4,4,4,2,3,2,3,2,3,5,4,4,2,-15,-4,-19
63,Mulligan,2,2,3,7,2,2,2,2,2,2,1,2,2,3,3,3,3,4,3,2,2,2,3,3,2,2,4,4,4,3,2,4,3,4,3,8,-17,-2,-19
63,Nitroustorm,2,3,3,5,2,1,2,3,4,4,1,2,2,5,3,3,2,4,3,5,3,3,2,2,3,2,2,3,3,3,2,1,5,4,3,5,-13,-6,-19
63,deebee64,2,2,5,4,2,2,2,2,2,3,1,2,3,5,2,3,5,3,2,4,3,2,2,3,2,2,4,3,2,3,3,3,4,3,2,8,-14,-5,-19
67,Nick,1,2,3,4,2,2,2,2,4,2,1,3,3,4,2,2,4,6,3,3,2,2,3,5,4,2,4,3,2,3,4,3,5,3,2,4,-15,-3,-18
67,joshbenesh,2,2,3,3,2,1,2,2,3,2,2,2,2,4,3,2,7,5,2,3,2,3,4,3,3,5,4,3,5,3,2,2,4,3,4,2,-15,-3,-18
69,Brian_oConner,2,2,3,4,2,3,2,2,3,2,1,2,2,3,3,3,3,3,2,4,6,2,6,5,4,3,3,3,2,3,4,2,6,2,3,2,-19,2,-17
69,Halfpint,2,2,3,8,2,3,2,2,3,2,1,2,2,2,3,3,5,4,3,2,2,2,3,2,4,3,4,4,2,3,2,6,4,3,5,2,-13,-4,-17
71,Snow,2,3,4,6,3,2,2,2,3,2,4,4,4,5,4,2,2,4,2,3,2,2,2,2,4,3,3,4,2,3,2,3,3,3,4,3,-6,-10,-16
72,Davex73,2,2,4,5,2,3,3,2,3,2,3,3,2,4,2,3,4,7,2,2,2,3,3,2,4,2,3,4,2,3,1,7,4,5,2,2,-8,-7,-15
72,Jennem,3,2,4,4,2,2,2,4,4,3,1,4,2,4,3,3,1,5,2,1,5,4,2,3,4,2,3,6,2,5,1,2,5,2,4,3,-11,-4,-15
72,Mike190,3,2,4,9,2,3,2,2,3,2,1,3,2,4,3,2,3,5,2,2,2,3,4,2,3,3,3,4,2,3,2,3,5,4,3,4,-9,-6,-15
72,Star fox,3,4,3,4,2,2,2,3,4,3,1,4,2,3,4,4,7,5,2,2,2,3,3,2,3,2,3,3,2,4,4,1,4,3,4,2,-4,-11,-15
72,StrokeLimitReached,2,2,3,4,2,2,1,3,4,2,3,3,2,3,2,2,4,2,2,2,3,3,4,2,2,2,4,5,2,2,2,3,8,2,7,8,-18,3,-15
72,WhiskerWitch,2,3,3,5,2,2,1,2,5,3,2,4,3,4,5,4,3,5,2,3,3,3,3,2,5,3,2,4,2,3,2,1,4,2,3,4,-6,-9,-15
78,Missi,2,3,4,3,2,2,3,2,3,4,2,2,2,3,3,2,2,9,2,3,3,3,2,3,8,3,3,5,4,2,2,2,3,3,3,3,-11,-3,-14
78,TheRick,2,3,3,5,2,2,3,2,2,2,2,2,2,3,3,3,3,5,2,5,2,2,4,2,3,4,3,4,2,2,1,4,4,7,3,7,-15,1,-14
78,kinghenryclub,3,2,5,5,2,2,2,3,4,4,3,3,2,3,2,4,2,3,3,2,3,2,2,2,4,4,5,3,2,7,2,4,4,2,3,2,-10,-4,-14
81,Brit The Elder,2,2,4,6,2,1,2,3,3,2,4,3,2,5,4,3,3,6,2,2,4,2,2,5,7,3,2,3,2,2,1,3,4,3,3,4,-7,-6,-13
82,Chipdancer,2,3,2,5,2,2,1,2,2,3,4,3,3,3,5,2,2,4,3,4,3,2,4,2,3,4,4,4,3,4,2,2,8,3,3,4,-14,2,-12
82,SherlockJake,2,3,4,4,2,2,1,3,3,4,2,3,4,6,5,2,2,5,2,3,3,2,2,2,5,4,3,4,2,3,1,5,4,3,2,5,-7,-5,-12
82,Sruss22,4,2,3,5,2,2,2,2,4,2,3,4,2,3,3,3,4,3,3,2,2,3,3,3,3,3,3,4,2,2,1,3,4,4,7,7,-11,-1,-12
82,TebowTimeFTW,4,2,3,5,1,2,4,2,5,2,1,4,2,3,2,2,2,6,2,2,3,3,3,4,7,3,3,5,3,3,2,3,4,3,3,4,-12,0,-12
86,Jtee22,3,3,3,5,2,2,2,4,3,4,2,3,2,5,3,2,2,5,2,4,4,3,3,2,4,2,6,3,2,3,2,5,4,3,3,3,-9,-2,-11
86,NuttyGrandpa,2,3,3,5,2,2,2,2,5,3,2,3,2,2,2,4,1,6,2,3,6,3,3,1,3,3,3,4,3,3,2,3,4,5,3,8,-13,2,-11
86,Sackdeqb,2,2,5,4,1,2,2,3,4,2,1,4,4,4,8,2,1,7,2,4,2,3,2,2,4,3,4,3,2,2,2,6,4,3,3,4,-6,-5,-11
89,Otvormeister,2,3,4,6,2,2,2,2,5,3,2,6,2,3,3,4,3,8,4,3,5,2,2,3,4,3,3,3,3,3,1,2,3,2,4,2,-2,-8,-10
90,MaxPikachu,2,3,4,5,2,3,4,2,4,3,3,5,3,3,6,2,2,3,3,4,3,2,2,2,3,7,2,4,2,3,2,2,8,3,7,3,-5,2,-3
91,Karrrrrrdo,2,3,4,4,2,2,2,2,5,2,2,3,2,4,3,4,4,9,3,3,4,3,4,2,3,3,3,5,3,4,3,4,4,3,4,6,-5,4,-1
92,QuestPete,2,4,4,9,2,2,2,3,4,3,3,4,3,4,3,2,2,3,4,5,2,2,2,2,6,3,5,4,2,5,2,6,3,3,4,6,-5,6,1
93,AndyP1970,5,5,6,7,5,5,5,6,6,5,5,5,5,6,6,5,5,8,2,2,2,2,3,1,2,3,2,3,2,4,2,3,5,1,3,1,36,-17,19
94,DiscflingerADK,5,5,6,7,5,5,5,6,6,5,5,5,5,6,6,5,5,8,2,2,2,2,2,2,3,4,3,3,2,4,3,2,3,3,4,2,36,-12,24
95,akamiked,5,5,6,7,5,5,5,6,6,5,5,5,5,6,6,5,5,8,2,2,2,3,4,2,3,2,4,3,2,4,5,2,3,3,4,3,36,-7,29
96,ET154,5,5,6,7,5,5,5,6,6,5,5,5,5,6,6,5,5,8,2,4,3,3,4,3,2,2,3,4,3,4,3,1,4,4,3,2,36,-6,30
97,ReflectingStorms,4,3,8,9,3,4,3,4,5,2,3,5,3,7,7,4,2,4,5,5,7,4,7,7,3,3,4,7,2,4,3,7,7,6,4,6,16,31,47
