Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
1,Matt916,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,3,1,3,3,2,2,3,2,2,2,3,2,2,1,5,-22,-23,-45
1,Stewie,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,1,3,2,3,3,1,3,2,3,2,2,2,1,2,2,2,2,2,3,-20,-25,-45
3,INDY,2,1,3,2,1,2,3,2,2,2,2,2,2,2,1,1,2,1,3,2,2,4,1,3,2,4,3,2,2,2,2,2,2,1,2,3,-21,-23,-44
3,Zanetti,1,2,2,2,1,2,2,2,2,2,3,2,1,2,2,2,2,1,3,2,2,3,1,2,2,2,2,3,2,2,1,6,1,1,3,4,-21,-23,-44
5,Bear313,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,1,4,2,2,3,1,2,2,3,2,3,2,2,3,2,2,1,2,3,-19,-24,-43
6,ElJorge,1,2,1,1,1,2,2,2,2,3,2,2,2,2,1,3,3,2,2,3,2,3,1,3,2,2,2,3,2,2,2,3,2,1,3,5,-20,-22,-42
6,Midaswell,1,2,2,3,1,2,2,2,2,2,2,2,2,2,3,2,4,1,3,2,2,3,1,2,2,3,2,3,2,2,2,2,2,2,2,3,-17,-25,-42
6,his.Dudeness,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,3,3,3,2,2,3,2,2,1,2,2,3,-20,-22,-42
9,B8Y,2,2,2,2,1,2,2,3,1,2,2,2,2,2,2,2,3,1,2,2,1,4,2,2,3,2,2,3,2,5,2,2,2,1,3,3,-19,-22,-41
9,Burn1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,1,3,2,2,4,2,2,4,3,2,2,2,2,2,3,2,1,2,4,-20,-21,-41
11,Browner,1,2,2,2,1,2,2,2,2,3,3,2,2,2,2,3,2,2,2,2,2,4,1,2,3,3,3,2,2,3,3,2,1,2,2,3,-17,-23,-40
12,GUS,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,1,3,2,2,3,1,2,3,3,3,2,2,4,2,3,2,2,2,5,-20,-19,-39
12,Squidy19,2,2,3,2,1,2,3,2,2,2,2,2,2,1,2,3,3,1,3,2,2,3,1,3,3,3,2,3,2,2,2,2,2,2,2,4,-17,-22,-39
12,SteveSkillman,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,3,2,2,6,2,2,3,4,4,2,2,2,2,3,2,2,2,4,-23,-16,-39
12,TrippinBill,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,3,2,2,3,2,2,2,4,2,2,2,2,3,2,2,2,3,4,-18,-21,-39
16,Calassy,1,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,3,1,3,2,3,4,2,3,2,3,2,3,2,3,2,3,2,1,2,5,-20,-18,-38
16,Dude_Lebowski,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,4,4,2,2,2,2,2,3,2,4,2,2,2,2,2,4,-19,-19,-38
16,SD_Diver,1,1,2,3,1,2,2,2,2,2,2,2,2,2,2,3,2,1,3,2,3,3,2,2,3,2,2,2,2,5,2,4,2,2,2,4,-20,-18,-38
16,Toaster,1,1,2,2,1,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,3,1,3,2,2,2,2,2,5,2,3,3,2,2,5,-19,-19,-38
20,CleverFellow,2,2,2,3,1,3,2,2,2,2,2,2,2,2,2,1,3,1,3,2,3,4,2,3,3,3,2,3,2,2,2,2,2,2,2,4,-18,-19,-37
