Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
1,ElJorge,2,2,1,2,2,2,3,2,1,1,3,4,2,2,2,2,2,3,2,2,2,2,3,1,2,1,2,2,5,2,1,2,2,2,2,3,-24,-23,-47
2,Zanetti,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,4,2,1,2,3,4,4,2,2,2,2,3,2,3,-26,-17,-43
3,INDY,2,2,3,2,2,2,1,2,1,2,3,2,2,3,2,2,2,3,2,2,2,2,3,2,2,2,2,5,3,2,2,2,3,2,2,3,-24,-18,-42
4,Browner,3,2,3,2,2,2,1,2,1,2,3,3,2,4,2,2,2,3,2,2,2,2,4,3,2,2,2,3,3,2,1,4,2,2,2,3,-21,-18,-39
5,his.Dudeness,2,2,1,2,2,3,1,3,2,3,4,3,2,3,1,2,3,3,2,2,2,2,2,2,2,2,4,3,4,3,1,2,2,3,2,3,-20,-18,-38
6,FIRE_321,1,2,2,3,2,2,2,2,1,2,2,4,2,2,2,2,2,3,3,2,2,2,3,2,2,2,3,4,5,2,2,3,2,2,3,4,-24,-13,-37
7,Bear313,4,2,2,3,3,2,1,2,1,2,3,3,3,2,2,2,2,3,2,2,2,2,3,2,2,2,3,5,4,2,2,3,2,2,2,3,-20,-16,-36
8,TIGERHOODS,3,2,2,2,2,3,2,2,2,2,6,2,2,3,2,2,2,3,1,2,2,4,3,4,1,3,2,4,2,2,1,2,3,2,2,5,-18,-16,-34
9,4whlr,2,2,2,2,5,3,2,2,2,2,3,2,2,2,2,2,4,3,2,2,2,2,2,5,2,2,2,4,4,2,4,3,2,2,3,3,-18,-13,-31
9,Burn1,2,2,2,2,2,2,1,2,1,3,5,1,2,3,1,3,2,3,2,2,2,3,4,4,2,2,4,3,4,2,4,4,2,3,2,4,-23,-8,-31
9,Rolyt,2,2,2,3,3,2,1,2,2,2,3,2,3,2,2,2,2,3,2,4,3,2,3,2,3,2,2,5,4,3,2,3,3,2,3,4,-22,-9,-31
12,KCRob,3,3,2,2,3,2,2,3,1,2,5,3,2,2,2,3,2,3,2,2,2,2,3,3,4,2,3,5,4,3,2,2,2,2,2,3,-17,-13,-30
13,YUK1N,2,2,2,2,3,3,2,2,2,3,4,2,2,2,2,2,2,3,5,2,2,2,3,3,2,2,5,5,4,4,1,2,2,2,2,4,-20,-9,-29
14,BaruMonkey,3,3,2,2,2,3,1,2,2,3,3,4,3,2,1,2,2,4,2,2,2,3,4,3,4,2,2,3,3,2,3,2,2,4,2,6,-18,-10,-28
14,HBKid,1,2,2,2,5,2,3,3,2,2,3,2,3,2,3,2,2,4,2,2,2,2,3,2,4,2,5,4,2,3,1,3,2,3,2,6,-17,-11,-28
14,Stewie,2,2,2,2,2,2,3,2,2,2,5,4,2,3,2,2,2,3,2,2,2,2,3,6,2,2,3,5,3,2,2,2,4,2,4,3,-18,-10,-28
17,Blutes87,2,2,2,2,3,2,3,2,2,2,4,3,2,3,2,3,2,3,2,2,2,2,5,4,2,2,7,4,3,2,2,2,3,3,2,3,-18,-9,-27
17,GreatGoose,1,2,2,2,3,2,1,2,2,1,5,2,2,3,2,2,2,3,3,2,2,4,4,2,2,2,2,7,6,3,1,3,4,3,2,5,-23,-4,-27
17,Mulligan,2,2,2,2,3,3,2,4,4,2,4,2,2,2,2,2,2,4,2,2,2,3,2,2,2,3,3,3,4,5,3,4,2,3,2,3,-16,-11,-27
20,CleverFellow,1,2,2,2,2,2,1,2,2,3,4,5,2,3,2,2,3,4,6,2,2,2,2,4,1,2,3,2,7,2,1,3,2,2,3,7,-18,-8,-26
20,DiscflingerADK,1,2,2,2,3,2,2,3,2,2,4,2,3,2,2,3,2,3,3,3,3,2,3,7,2,2,2,2,7,3,3,3,3,2,2,3,-20,-6,-26
22,ARMY_OF_ONE,3,2,2,3,2,6,3,2,1,2,4,2,2,2,2,2,3,3,2,2,2,2,3,2,2,2,4,3,2,5,4,2,2,3,2,8,-16,-9,-25
22,Anuebus,2,3,2,2,4,4,5,2,2,3,4,2,2,3,1,2,3,4,3,2,3,2,4,2,3,2,4,2,4,2,2,2,2,4,2,3,-12,-13,-25
22,Froman,1,3,2,2,3,3,2,2,2,2,3,4,2,3,2,1,2,3,4,2,2,2,3,2,2,7,7,3,5,4,1,2,3,2,2,3,-20,-5,-25
22,John_UK,2,2,2,2,2,3,1,2,2,2,3,2,3,3,2,3,2,4,2,2,3,3,3,4,5,3,4,2,3,3,2,4,2,3,2,6,-20,-5,-25
22,Rainedrop184,3,2,2,2,2,2,2,2,1,3,3,2,2,3,2,2,2,4,2,3,3,3,5,3,5,2,4,4,3,3,3,2,3,2,2,5,-21,-4,-25
27,Calassy,3,2,2,2,3,3,3,2,2,2,5,6,2,2,2,2,2,3,4,2,2,2,3,4,3,2,1,3,6,2,3,3,3,3,2,3,-14,-10,-24
27,GUS,3,2,2,2,7,3,2,2,2,3,3,2,2,2,1,3,3,4,2,2,2,2,5,3,2,2,3,2,6,2,5,3,2,2,3,3,-14,-10,-24
27,Squidy19,2,2,2,3,3,2,3,3,3,2,3,2,2,3,2,2,2,6,3,2,2,1,4,3,5,2,2,3,3,6,1,3,3,3,2,4,-15,-9,-24
30,ForRealForReal,2,2,2,2,2,3,6,2,1,3,3,2,2,4,1,1,3,9,2,2,2,3,3,3,2,2,5,3,7,2,2,3,2,2,2,3,-12,-11,-23
30,Jack,2,2,2,3,1,3,2,1,2,2,5,3,1,3,2,2,3,4,3,3,2,3,2,4,6,2,3,2,6,3,2,3,3,3,2,5,-19,-4,-23
30,RadiumF,2,2,2,2,4,2,3,2,3,3,5,2,2,3,2,3,3,4,3,2,3,2,4,4,3,3,2,3,4,3,1,2,3,2,3,4,-13,-10,-23
30,Sarahloo1971,3,2,2,2,3,3,4,2,2,2,9,4,3,3,2,3,3,3,3,2,3,3,2,3,3,2,2,3,3,2,1,2,3,2,2,4,-7,-16,-23
34,McLovin,2,2,4,3,2,2,3,2,2,2,4,3,3,3,3,3,3,5,2,3,3,3,5,3,2,2,2,5,4,2,1,3,2,2,2,4,-11,-11,-22
34,deebee64,1,2,2,3,5,2,2,3,2,2,7,3,2,3,2,4,2,4,2,6,2,3,3,2,7,2,2,3,3,2,1,3,2,2,2,3,-11,-11,-22
36,Captain_Sr,3,2,2,3,4,3,2,3,1,2,2,5,2,3,2,4,2,4,2,3,4,3,3,7,5,1,3,2,3,2,2,4,2,2,2,3,-13,-8,-21
36,Caramel,3,2,1,3,2,2,3,3,2,2,5,2,3,3,2,2,2,7,3,4,3,4,3,4,4,2,4,4,3,2,1,2,3,2,2,3,-13,-8,-21
36,Monsoon,3,2,2,2,3,3,3,3,2,3,4,4,3,2,3,2,5,4,2,2,3,2,6,3,2,2,2,4,4,2,1,2,3,3,2,4,-9,-12,-21
39,Mau,2,2,2,2,3,4,2,5,1,3,4,4,2,2,2,2,2,4,2,4,3,3,3,4,4,2,3,3,7,2,1,3,2,4,2,3,-14,-6,-20
40,willsy13,3,2,2,3,2,3,3,4,2,3,4,2,2,2,2,3,3,4,2,2,2,2,5,4,4,2,2,2,3,3,2,3,2,4,2,9,-13,-6,-19
41,DERBY_DAZ,3,3,2,3,2,2,3,2,2,2,5,4,2,3,2,3,2,3,3,2,4,3,4,4,7,2,3,5,3,2,1,2,2,4,2,4,-14,-4,-18
41,NuttyGrandpa,2,3,3,2,2,2,2,4,3,2,3,6,3,3,1,2,2,3,5,5,3,4,5,2,3,2,2,4,3,2,1,3,3,3,2,5,-14,-4,-18
41,TrickyDicky,2,2,3,2,2,3,1,3,1,4,2,2,3,2,3,2,4,3,3,2,2,3,3,7,3,2,7,3,7,2,1,2,2,3,2,7,-18,0,-18
41,steven_T,2,2,2,2,5,2,2,2,2,2,6,5,2,3,2,2,2,3,3,2,3,7,3,4,5,2,2,3,4,3,1,3,3,3,2,4,-14,-4,-18
45,Autodidactic,1,3,2,2,3,3,1,4,2,2,4,2,3,3,2,2,2,4,4,3,3,3,4,4,3,2,3,3,8,2,3,3,2,5,2,4,-17,0,-17
45,Indianchief,3,2,2,2,2,2,2,4,1,2,4,4,3,4,2,3,4,4,3,4,2,3,2,2,6,2,2,3,6,2,3,3,2,2,2,7,-12,-5,-17
45,SteelersLife,2,2,2,5,2,4,3,2,2,2,2,3,3,3,1,1,3,4,4,2,3,3,5,3,2,2,5,4,5,3,4,2,3,3,4,3,-16,-1,-17
48,D3bb13,3,2,2,3,4,3,1,2,2,2,3,2,2,3,2,3,2,8,2,4,2,2,4,6,3,2,3,2,6,2,1,4,4,4,4,3,-13,-3,-16
