Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
33,Old-T,4,3,2,2,2,3,2,2,2,3,4,2,2,2,2,3,2,5,2,2,2,2,3,2,2,3,4,4,3,2,3,2,2,3,4,3,-15,-16,-31
33,Rolyt,2,2,2,4,2,2,4,3,1,3,5,2,3,2,2,3,2,5,2,2,2,3,3,2,2,2,4,2,3,2,2,2,2,3,5,3,-13,-18,-31
37,ElJorge,2,2,2,2,2,2,2,2,2,2,5,2,3,2,2,2,2,3,1,2,2,2,3,2,4,3,6,2,5,4,2,2,2,4,7,2,-21,-9,-30
37,Gopats37,4,2,2,2,2,3,4,2,2,2,6,2,3,3,2,2,3,3,2,3,2,3,3,2,2,3,3,3,3,2,2,2,2,4,4,2,-13,-17,-30
37,Nitroustorm,2,2,2,1,2,2,2,3,2,2,3,2,2,3,2,3,2,3,2,3,3,5,3,2,3,3,3,3,4,3,2,2,4,4,4,3,-22,-8,-30
37,NuttyGrandpa,3,2,3,3,2,3,1,2,2,2,3,3,2,3,2,3,2,3,2,2,2,3,3,2,4,2,3,3,4,3,2,2,2,4,6,3,-18,-12,-30
37,Rainedrop184,2,2,2,2,3,4,2,3,3,2,4,2,2,2,3,2,3,4,2,2,2,2,3,2,3,2,5,4,3,2,2,2,2,4,4,3,-15,-15,-30
37,ichibuho,2,2,2,2,2,2,1,2,2,2,4,5,2,2,2,2,4,3,1,2,2,3,3,3,3,2,3,4,3,2,2,2,3,5,6,4,-19,-11,-30
43,Brad,3,2,2,2,2,2,3,2,2,2,3,5,2,3,2,2,2,3,1,4,3,3,2,2,4,2,6,3,4,2,4,2,2,3,3,3,-18,-11,-29
43,Calassy,2,2,1,3,2,3,2,2,1,2,3,5,2,2,2,2,3,3,2,2,2,2,2,2,3,2,5,3,9,3,2,2,2,4,5,3,-20,-9,-29
43,deebee64,2,2,2,2,3,2,3,2,2,3,4,4,3,2,2,2,3,5,2,2,3,2,3,3,2,2,3,3,4,3,3,2,2,4,4,2,-14,-15,-29
43,steven_T,2,2,2,2,2,3,2,2,2,2,4,3,3,4,2,2,2,4,2,2,3,3,4,2,3,2,5,4,3,2,2,2,2,4,4,3,-17,-12,-29
47,FugoHallarin,2,2,2,1,3,3,2,2,2,2,6,2,3,2,2,1,3,3,2,2,4,2,3,3,4,2,4,3,4,4,3,2,2,4,4,3,-19,-9,-28
47,HBKid,2,2,2,3,2,2,3,3,4,2,7,4,2,3,2,3,3,3,2,3,2,2,4,2,3,2,3,2,2,2,2,2,2,4,3,4,-10,-18,-28
47,TIGERHOODS,1,2,2,3,3,3,1,2,1,2,2,8,4,2,1,2,4,6,2,3,2,2,2,2,3,2,3,3,4,2,2,2,3,5,4,3,-13,-15,-28
47,joshbenesh,2,2,2,2,2,3,1,2,2,2,2,2,2,4,2,3,2,3,2,2,4,2,2,3,2,3,4,5,4,5,2,2,4,5,4,3,-22,-6,-28
51,Emill,4,2,2,2,3,2,3,2,2,2,5,6,2,2,2,4,4,3,2,2,3,2,2,2,3,2,3,3,4,2,2,2,3,4,4,2,-10,-17,-27
51,ForRealForReal,2,2,2,2,2,3,2,2,2,2,4,2,2,2,2,2,2,5,2,2,5,2,3,2,2,3,8,4,3,2,2,1,1,3,9,3,-20,-7,-27
51,Korndog,2,2,2,2,2,3,2,2,2,3,4,5,2,3,2,2,3,3,2,2,2,2,3,2,3,3,4,4,4,3,2,2,2,4,4,5,-16,-11,-27
51,crowsteve,3,2,1,2,3,3,2,4,4,2,4,3,2,4,2,2,2,4,2,2,4,2,3,2,2,2,4,3,2,3,2,2,5,4,4,2,-13,-14,-27
